的	dik
一	jat
是	si
了	liu
不	bat
在	zoi
有	jau
個	go
人	jan
這	ze
上	soeng
中	zung
大	daai
為	wai
來	loi
我	ngo
到	dou
出	ceot
要	jiu
以	ji
時	si
和	wo
和	wu
地	dei
地	waan
們	mun
得	dak
可	ho
下	haa
對	deoi
生	saang
也	jaa
子	zi
就	zau
過	gwo
能	nang
他	taa
會	wui
多	do
發	faat
說	seoi
說	syut
而	ji
於	jyu
自	zi
之	zi
用	jung
年	nin
行	haang
行	hong
家	gaa
方	fong
後	hau
作	zok
成	seng
成	sing
開	hoi
面	min
事	si
好	hou
小	siu
心	sam
前	cin
所	so
道	dou
法	faat
如	jyu
進	zeon
著	zoek
同	tung
經	ging
分	fan
定	deng
定	ding
都	dou
然	jin
與	jyu
本	bun
還	waan
其	kei
當	dong
起	hei
動	dung
已	ji
兩	loeng
點	dim
從	cung
從	sung
問	man
裡	lei
裡	leoi
主	zyu
實	sat
天	tin
高	gou
去	heoi
現	jin
長	coeng
長	zoeng
此	ci
三	saam
將	zoeng
無	mou
國	gwok
全	cyun
文	man
理	lei
明	ming
日	jat
些	se
看	hon
只	zek
只	zi
公	gung
等	dang
十	sap
意	ji
正	zeng
正	zing
外	ngoi
想	soeng
間	gaan
把	baa
情	cing
者	ze
沒	mut
重	cung
重	zung
相	soeng
那	naa
向	hoeng
知	zi
因	jan
樣	joeng
學	hok
應	jing
又	jau
手	sau
但	daan
信	seon
關	gwaan
使	sai
種	zung
見	gin
力	lik
名	meng
名	ming
二	ji
處	cyu
門	mun
並	bing
口	hau
麼	mo
先	sin
位	wai
頭	tau
回	wui
話	waa
很	han
再	zoi
由	jau
身	san
入	jap
內	naap
平	peng
平	ping
被	bei
被	pei
給	kap
次	ci
別	bit
幾	gei
月	jyut
真	jan
真	zan
立	laap
-------------------
新	san
通	tung
少	siu
機	gei
打	daa
水	seoi
果	gwo
最	zeoi
部	bou
何	ho
安	ngon
安	on
接	zip
報	bou
聲	seng
聲	sing
才	coi
體	tai
今	gam
合	gaap
合	gap
合	hap
合	ho
性	sing
西	gwaa
西	sai
你	nei
放	fong
表	biu
目	muk
加	gaa
常	soeng
做	zou
己	gei
老	lou
四	sei
四	si
件	gin
解	gaai
路	lou
更	gaang
更	gang
走	zau
比	bei
總	zung
金	gam
管	gun
光	gwong
工	gung
結	git
提	tai
任	jam
東	dung
原	jyun
便	bin
便	pin
美	mei
及	kap
教	gaau
難	naan
世	sai
至	zi
氣	hei
神	san
神	zing
山	saan
數	sou
利	lai
利	lei
書	syu
代	doi
直	zik
色	sik
場	coeng
變	bin
記	gei
張	zoeng
必	bit
受	sau
交	gaau
非	fei
服	fuk
化	faa
求	kau
風	fung
度	dok
度	dou
太	taai
萬	maan
萬	mak
各	gok
算	syun
邊	bin
王	wong
什	sam
什	sap
什	zaap
快	faai
許	heoi
連	lin
五	ng
活	wut
思	si
該	goi
步	bou
海	hoi
指	zi
物	mat
則	zak
女	neoi
或	waak
完	jyun
馬	maa
強	koeng
言	jin
條	tiu
特	dak
命	meng
命	ming
感	gam
清	cing
帶	daai
認	jing
保	bou
望	mong
轉	zyun
傳	cyun
傳	zyun
兒	ji
制	zai
幹	gon
計	gai
民	man
白	baak
住	zyu
字	zi
它	taa
義	ji
車	ce
車	geoi
像	zoeng
反	faan
象	zoeng
題	tai
卻	koek
流	lau
且	ce
即	zik
深	sam
近	gan
近	kan
形	jing
取	ceoi
取	cou
往	wong
系	hai
量	cung
量	loeng
論	leon
告	gou
息	sik
讓	joeng
決	kyut
未	mei
花	faa
收	sau
滿	mun
每	mui
華	faa
華	hung
華	waa
業	jip
南	naam
覺	gaau
覺	gok
電	din
空	hung
眼	ngaan
聽	teng
聽	ting
遠	jyun
師	si
元	jyun
請	ceng
請	cing
容	jung
她	taa
軍	gwan
士	si
百	baak
辦	baan
語	jyu
期	kei
北	bak
林	lam
識	sik
半	bun
夫	fu
客	haak
戰	zin
院	jyun
城	seng
城	sing
候	hau
單	daan
單	sin
音	jam
臺	toi
死	po
死	sei
死	si
視	si
領	leng
領	ling
失	sat
司	si
親	can
始	ci
極	gik
雙	soeng
令	ling
改	goi
功	gung
程	cing
愛	ngoi
愛	oi
德	dak
復	fuk
切	cai
切	cit
隨	ceoi
李	lei
員	jyun
員	wan
離	lei
輕	heng
輕	hing
觀	gun
青	ceng
青	cing
足	zuk
落	dei
落	lak
落	lok
叫	giu
根	gan
怎	zam
持	ci
精	
精	zeng
精	zing
送	sung
眾	zung
影	jing
八	baat
首	sau
包	baau
準	zeon
興	hing
紅	hung
達	daat
達	taat
早	zou
盡	zeon
故	gu
房	fong
引	jan
火	fo
站	zaam
似	ci
找	zaau
備	bei
調	diu
調	tiu
斷	dyun
斷	tyun
設	cit
格	gaak
消	siu
拉	laai
拉	laap
照	ziu
布	bou
友	jau
整	zing
術	seot
石	sek
展	zin
緊	gan
據	geoi
終	zung
周	zau
式	sik
舉	geoi
飛	fei
飛	fi
片	pin
雖	seoi
易	ji
易	jik
運	wan
笑	siu
雲	wan
建	gin
談	taam
界	gaai
務	mou
寫	se
錢	cin
商	soeng
樂	lok
樂	ngaau
樂	ngok
推	teoi
注	zyu
越	jyut
千	cin
微	mei
若	je
若	joek
約	joek
英	jing
集	zaap
示	si
呢	li
呢	ne
呢	nei
呢	ni
待	doi
坐	co
坐	zo
議	ji
乎	fu
留	lau
稱	cing
品	ban
志	zi
黑	haak
黑	hak
存	cyun
六	luk
造	cou
造	zou
低	dai
江	gong
念	nim
產	caan
刻	hak
節	zit
爾	ji
吃	gat
吃	hek
勢	sai
依	ji
圖	tou
共	gung
曾	cang
曾	zang
響	hoeng
底	dai
裝	zong
具	geoi
具	keoi
喜	hei
嚴	jim
九	gau
況	fong
跟	gan
羅	lo
須	seoi
須	sou
顯	hin
熱	jit
病	beng
病	sei
證	zing
剛	gong
治	ci
治	zi
絕	zyut
群	kwan
市	si
陽	joeng
確	kok
究	gau
久	gau
除	ceoi
聞	man
答	daap
段	dyun
官	gun
政	zing
類	leoi
黃	wong
武	mou
七	cat
支	zi
費	fai
父	fu
統	tung
府	fu
查	caa
般	bo
般	bun
般	pun
斯	si
倒	dou
突	dat
號	hou
樹	syu
拿	naa
克	haak
克	hak
初	co
廣	gwong
奇	gei
奇	kei
願	jyun
歡	fun
希	hei
母	mou
香	hoeng
破	po
誰	seoi
致	zi
線	sin
急	gap
古	gu
既	gei
句	geoi
京	ging
甚	sam
仍	jing
晚	maan
爭	zaang
爭	zang
遊	jau
龍	lung
餘	jyu
護	wu
另	ling
器	hei
細	sai
木	muk
權	kyun
星	sing
哪	naa
苦	fu
孩	haai
試	si
朝	ciu
朝	ziu
阿	aa
阿	o
隊	deoi
居	geoi
害	hoi
獨	duk
講	gong
錯	co
錯	cok
局	guk
男	naam
差	caa
差	caai
差	ci
參	caam
參	saam
參	sam
社	se
換	wun
選	syun
止	zi
際	zai
假	gaa
漢	hon
夠	gau
訴	sou
資	zi
密	mat
案	on
史	si
較	gaau
環	waan
投	tau
靜	zing
寶	bou
專	zyun
修	sau
室	sat
區	keoi
料	liu
幫	bong
衣	ji
竟	ging
模	mou
臉	lim
善	sin
兵	bing
兵	ji
考	haau
規	kwai
聯	lyun
團	tyun
冷	laang
玉	juk
施	si
派	paa
派	paai
紀	gei
採	coi
歷	lik
顧	gu
春	ceon
責	zaak
夜	je
畫	waa
畫	waak
驚	geng
驚	ging
銀	ngan
