的	dik
一	yed
是	si
了	liu
不	bed
在	zoi
有	yeu
個	go
人	yen
這	zr
上	sxj
中	zuj
大	dai
為	wei
來	loi
我	jo
到	dou
出	cxd
要	yiu
以	yi
時	si
和	wo
和	wu
地	dri
地	wan
們	mun
得	dek
可	ho
下	ha
對	dxi
生	saj
也	ya
子	zi
就	zeu
過	gwo
能	nej
他	ta
會	wui
多	do
發	fad
說	sxi
說	svd
而	yi
於	yv
自	zi
之	zi
用	yuj
年	nin
行	haj
行	hoj
家	ga
方	foj
後	heu
作	zok
成	srj
成	sij
開	hoi
面	min
事	si
好	hou
小	siu
心	sem
前	cin
所	so
道	dou
法	fad
如	yv
進	zxn
著	zxk
同	tuj
經	gij
分	fen
定	drj
定	dij
都	dou
然	yin
與	yv
本	bun
還	wan
其	kri
當	doj
起	hri
動	duj
已	yi
兩	lxj
點	dim
從	cuj
從	suj
問	men
裡	lri
裡	lxi
主	zv
實	sed
天	tin
高	gou
去	hxi
現	yin
長	cxj
長	zxj
此	ci
三	sam
將	zxj
無	mou
國	gwok
全	cvn
文	men
理	lri
明	mij
日	yed
些	sr
看	hon
只	zrk
只	zi
公	guj
等	dej
十	sep
意	yi
正	zrj
正	zij
外	joi
想	sxj
間	gan
把	ba
情	cij
者	zr
沒	mud
重	cuj
重	zuj
相	sxj
那	na
向	hxj
知	zi
因	yen
樣	yxj
學	hok
應	yij
又	yeu
手	seu
但	dan
信	sxn
關	gwan
使	sei
種	zuj
見	gin
力	lik
名	mrj
名	mij
二	yi
處	cv
門	mun
並	bij
口	heu
麼	mo
先	sin
位	wei
頭	teu
回	wui
話	wa
很	hen
再	zoi
由	yeu
身	sen
入	yep
內	nap
平	prj
平	pij
被	bri
被	pri
給	kep
次	ci
別	bid
幾	gri
月	yvd
真	yen
真	zen
立	lap
-------------------
新	sen
通	tuj
少	siu
機	gri
打	da
水	sxi
果	gwo
最	zxi
部	bou
何	ho
安	jon
安	on
接	zip
報	bou
聲	srj
聲	sij
才	coi
體	tei
今	gem
合	gap
合	gep
合	hep
合	ho
性	sij
西	gwa
西	sei
你	nri
放	foj
表	biu
目	muk
加	ga
常	sxj
做	zou
己	gri
老	lou
四	sri
四	si
件	gin
解	gai
路	lou
更	gaj
更	gej
走	zeu
比	bri
總	zuj
金	gem
管	gun
光	gwoj
工	guj
結	gid
提	tei
任	yem
東	duj
原	yvn
便	bin
便	pin
美	mri
及	kep
教	gau
難	nan
世	sei
至	zi
氣	hri
神	sen
神	zij
山	san
數	sou
利	lei
利	lri
書	sv
代	doi
直	zik
色	sik
場	cxj
變	bin
記	gri
張	zxj
必	bid
受	seu
交	gau
非	fri
服	fuk
化	fa
求	keu
風	fuj
度	dok
度	dou
太	tai
萬	man
萬	mek
各	gok
算	svn
邊	bin
王	woj
什	sem
什	sep
什	zap
快	fai
許	hxi
連	lin
五	j
活	wud
思	si
該	goi
步	bou
海	hoi
指	zi
物	med
則	zek
女	nxi
或	wak
完	yvn
馬	ma
強	kxj
言	yin
條	tiu
特	dek
命	mrj
命	mij
感	gem
清	cij
帶	dai
認	yij
保	bou
望	moj
轉	zvn
傳	cvn
傳	zvn
兒	yi
制	zei
幹	gon
計	gei
民	men
白	bak
住	zv
字	zi
它	ta
義	yi
車	cr
車	gxi
像	zxj
反	fan
象	zxj
題	tei
卻	kxk
流	leu
且	cr
即	zik
深	sem
近	gen
近	ken
形	yij
取	cxi
取	cou
往	woj
系	hei
量	cuj
