---config@码表分类=主码-系统码表
---config@码表别名=系统字库
阿	a#序60000
桠	aa#序55000
痖	ab#序55000
丫	abu#序50000
押	ad#序58000
揠	adf#序55000
压	adi#序55000
遏	ado#序55000
亚	ah#序55000
挨	ai#序58000
隘	aie#序55000
唉	aik#序55000
嗌	aikb#序50000
哎	aikc#序50000
埃	ait#序55000
锕	aj#序55000
握	ak#序58000
吖	akb#序50000
啊	ake#序50000
嗄	ake#序45000
扼	akf#序55000
哑	akh#序50000
厄	aki#序55000
轭	akii#序50000
呃	akk#序55000
龌	akv#序55000
呀	aky#序50000
晏	an#序58000
娅	anh#序50000
唵	ank#序55000
鸭	ap#序58000
氩	aq#序55000
罂	ar#序58000
垭	at#序55000
抓	au#序58000
拗	auf#序55000
坳	aut#序55000
鸦	ay#序55000
雅	ayv#序50000
不	b#序60000
把	ba#序58000
爸	bab#序55000
疤	babb#序50000
芭	bac#序55000
葩	bacb#序50000
八	bad#序58000
茇	badc#序55000
扒	badf#序55000
捌	badfk#序50000
魃	badg#序55000
灞	bady#序50000
拉	baf#序55000
靶	bag#序55000
败	bai#序58000
湃	baid#序55000
摆	baif#序55000
捭	baifb#序50000
掰	baiff#序50000
拜	baifh#序50000
稗	baih#序55000
呗	baik#序55000
惫	baiw#序55000
白	bak#序58000
柏	baka#序55000
叭	bakb#序45000
吧	bakb#序50000
匐	bakbh#序50000
帛	bakbj#序50000
迫	bakbz#序50000
僰	bakc#序55000
百	bake#序55000
啪	bakk#序55000
伯	bakr#序55000
佰	bakre#序50000
巴	baku#序50000
卜	bakud#序50000
踣	bakz#序55000
耙	bal#序55000
粑	bam#序55000
办	ban#序58000
板	bana#序55000
瘢	banb#序55000
癍	banbw#序50000
阪	bane#序55000
扮	banf#序55000
扳	banfp#序50000
颁	banfy#序50000
钣	banj#序55000
瓣	banl#序55000
版	banp#序55000
坂	bant#序55000
舨	banv#序55000
爿	banvu#序50000
斑	banw#序55000
班	banwd#序50000
蹦	bar#序58000
唪	bark#序55000
罢	bas#序55000
坝	bat#序55000
包	bau#序58000
岜	baub#序50000
苞	bauc#序55000
爆	bauh#序55000
胞	bauo#序55000
饱	bauu#序55000
龅	bauv#序55000
鲍	bauy#序55000
孢	bauz#序55000
笆	bav#序55000
霸	bay#序55000
啤	be#序58000
被	bei#序58000
比	beib#序55000
赑	beibb#序50000
鹎	beibn#序50000
痹	beibt#序50000
卑	beibu#序50000
毖	beibx#序50000
芘	beic#序55000
萆	beicb#序50000
蓖	beicp#序50000
泌	beid#序55000
碑	beie#序55000
陂	beiep#序50000
悲	beif#序55000
庇	beig#序55000
庳	beigb#序45000
髀	beigb#序50000
秘	beih#序55000
秕	beihb#序50000
吡	beik#序55000
妣	bein#序55000
肶	beio#序55000
脾	beiob#序50000
匕	beip#序55000
彼	beir#序55000
俾	beirb#序50000
辔	beis#序55000
罴	beisd#序50000
畀	beit#序55000
避	beiu#序55000
贲	beiub#序50000
臂	beiuo#序50000
屄	beiux#序50000
舭	beiv#序55000
篦	beivp#序50000
箅	beivt#序50000
备	beiw#序55000
惫	beiwx#序50000
裨	beiy#序55000
跛	beiz#序55000
鼻	beizt#序50000
病	ber#序58000
柄	bera#序55000
饼	beru#序55000
啤	bi#序58000
别	bid#序58000
瘪	bidb#序55000
憋	bidbx#序50000
鳖	bidby#序50000
蹩	bidbz#序50000
铋	bidj#序55000
咇	bido#序55000
鐾	bidu#序55000
必	bidx#序55000
迫	bik#序58000
皕	bike#序55000
逼	bikh#序55000
壁	biku#序55000
璧	bikuw#序50000
襞	bikuy#序50000
碧	bikw#序55000
愎	bikx#序55000
便	bin#序58000
贬	binb#序55000
苄	binc#序55000
汴	bind#序55000
卞	bindx#序50000
碥	bine#序55000
砭	binep#序50000
鞭	bing#序55000
扁	binh#序55000
煸	binhh#序50000
匾	bink#序55000
辨	binl#序55000
辫	binls#序50000
辩	binly#序50000
边	binlz#序50000
胼	bino#序55000
弁	bins#序55000
笾	binv#序55000
窆	binx#序55000
忭	binxd#序50000
变	biny#序55000
褊	binyh#序50000
鳊	binyh#序45000
并	bir#序58000
梹	bira#序55000
栟	birab#序50000
柄	birah#序50000
迸	birb#序55000
病	birbh#序50000
冰	bird#序55000
浜	birdq#序50000
摒	birf#序55000
抦	birfh#序50000
炳	birh#序55000
邴	birhe#序50000
丙	birhk#序50000
秉	birp#序55000
乒	birq#序55000
兵	birqb#序50000
屏	biru#序55000
表	biu#序58000
标	biua#序55000
杓	biuab#序50000
瘭	biub#序55000
飚	biuf#序55000
彪	biuh#序55000
髟	biui#序55000
镳	biuj#序55000
镖	biujx#序50000
骉	bium#序55000
婊	biun#序55000
膘	biuo#序55000
飙	biuq#序55000
俵	biur#序55000
裱	biuy#序55000
波	bo#序58000
菠	boc#序55000
播	bof#序55000
博	bok#序58000
僰	bokc#序55000
薄	bokcd#序50000
啵	bokd#序50000
泊	bokdb#序50000
礴	boke#序55000
搏	bokf#序55000
扑	bokfb#序50000
噃	bokh#序50000
铂	bokj#序55000
驳	bokm#序55000
膊	boko#序55000
缚	boks#序55000
卜	boku#序55000
箔	bokv#序55000
舶	bokvb#序50000
亳	bokw#序55000
雹	boky#序55000
鄱	bop#序55000
帮	bor#序58000
梆	bora#序55000
榜	boral#序50000
蒡	borc#序55000
浜	bord#序55000
磅	bore#序55000
邦	borf#序55000
镑	borj#序55000
膀	boro#序55000
傍	borr#序55000
绑	bors#序55000
坡	bot#序55000
部	bou#序58000
鸨	boub#序55000
孬	boubn#序50000
葆	bouc#序55000
泡	boud#序55000
报	bouf#序55000
捕	bouff#序50000
逋	boufz#序50000
宝	boug#序55000
钸	bouj#序55000
哺	bouk#序55000
曝	bouo#序55000
晡	bouof#序50000
暴	bouog#序50000
煲	bour#序55000
保	bourk#序50000
堡	bourt#序50000
埔	bout#序55000
布	bouu#序55000
簿	bouv#序55000
步	bouvu#序50000
缹	bouw#序55000
褒	bouwr#序50000
怖	boux#序55000
褓	bouy#序55000
补	bouyb#序50000
踄	bouz#序55000
般	bov#序55000
簸	bovq#序50000
玻	bow#序55000
跛	boz#序55000
笔	bqd#序58000
毕	bqdb#序55000
菝	bqdc#序55000
荜	bqdcb#序50000
泌	bqdd#序55000
滗	bqddv#序50000
拔	bqdf#序55000
弼	bqdg#序55000
哔	bqdk#序55000
筚	bqdv#序55000
鲅	bqdy#序55000
跸	bqdz#序55000
跋	bqdzu#序50000
闭	bqi#序58000
敝	bqib#序55000
赑	bqibb#序50000
弊	bqibc#序50000
毙	bqibh#序50000
薜	bqic#序55000
蔽	bqicb#序50000
濞	bqid#序55000
陛	bqie#序55000
币	bqip#序55000
狴	bqiq#序55000
跛	bqiz#序55000
北	bqk#序58000
泵	bqm#序58000
乓	bqmq#序55000
品	bqn#序58000
槟	bqna#序55000
彬	bqnaa#序50000
榀	bqnak#序50000
滨	bqnd#序55000
奔	bqndu#序50000
坌	bqnf#序55000
邠	bqnfe#序50000
摈	bqnfg#序50000
宾	bqng#序55000
髌	bqngg#序50000
殡	bqnh#序55000
鬓	bqni#序55000
锛	bqnj#序55000
镔	bqnjg#序50000
犇	bqnn#序55000
嫔	bqnng#序50000
膑	bqno#序55000
傧	bqnr#序55000
缤	bqns#序55000
豳	bqnu#序55000
贲	bqnub#序50000
笨	bqnv#序55000
禀	bqnw#序55000
斌	bqnww#序50000
崩	bqr#序58000
甭	bqrb#序55000
绷	bqrs#序55000
祊	bqru#序55000
烹	bqrw#序55000
蹦	bqrz#序55000
拨	bud#序58000
荸	budc#序55000
渤	budd#序55000
砵	bude#序55000
葧	budh#序55000
钹	budj#序55000
钵	budja#序50000
脖	budo#序55000
鹁	budu#序55000
勃	budul#序50000
饽	buduu#序50000
孛	buduz#序50000
鲅	budy#序55000
背	bui#序58000
杯	buia#序55000
棓	buial#序50000
邶	buib#序55000
揹	buif#序55000
辈	buifi#序50000
焙	buih#序55000
钡	buij#序55000
贝	buik#序55000
狈	buiq#序55000
悖	buix#序55000
褙	buiy#序55000
仆	buk#序58000
濮	bukd#序55000
瀑	bukdo#序50000
幞	bukj#序55000
镤	bukjy#序50000
卟	bukk#序55000
曝	buko#序55000
暴	bukog#序50000
伏	bukr#序55000
卜	buku#序55000
醭	buky#序55000
蹼	bukz#序55000
本	bun#序58000
叛	bunb#序55000
半	bunbf#序50000
苯	bunc#序55000
搬	bunf#序55000
拌	bunfb#序50000
胖	buno#序55000
伴	bunr#序55000
绊	buns#序55000
畚	bunsd#序50000
畔	bunt#序55000
般	bunv#序55000
出	c#序60000
查	ca#序58000
杈	caa#序55000
槎	caay#序50000
茶	cac#序55000
茬	cacu#序50000
察	cad#序58000
檫	cada#序55000
礤	cade#序55000
擦	cadf#序55000
镲	cadj#序55000
唰	cadk#序55000
嚓	cadkg#序50000
獭	cadq#序55000
刷	cadu#序55000
汊	cady#序50000
岔	caf#序55000
搽	cafc#序50000
猜	cai#序58000
搓	caif#序55000
搋	caifp#序50000
钗	caij#序55000
豺	caip#序55000
侪	cair#序55000
柴	caiv#序55000
差	caiy#序55000
踹	caiz#序55000
踩	caiza#序50000
策	cak#序58000
栅	caka#序55000
贼	cakb#序55000
测	cakd#序55000
拆	cakf#序55000
咤	cakk#序55000
册	cakkk#序50000
坼	cakt#序55000
咱	cakz#序50000
参	cam#序58000
杉	cama#序55000
枨	camai#序50000
搀	camf#序55000
掺	camfs#序50000
黪	camh#序55000
骖	camm#序55000
蚕	camt#序55000
馋	camu#序55000
忏	camx#序55000
惭	camxi#序50000
惨	camxs#序50000
谗	camy#序55000
产	can#序58000
粲	canb#序55000
餐	canbr#序50000
瘆	canbs#序50000
浐	cand#序55000
姹	cang#序50000
灿	canh#序55000
残	canhj#序50000
铲	canj#序55000
羼	canu#序55000
孱	canuz#序50000
璨	canw#序55000
插	cap#序58000
锸	capj#序55000
猹	caq#序55000
撑	car#序58000
枨	cara#序55000
橙	carad#序50000
铛	carj#序55000
锃	carjk#序50000
瞠	carm#序55000
罉	carp#序55000
伧	carr#序55000
吵	cau#序58000
馇	caua#序50000
皱	caud#序55000
抄	cauf#序55000
炒	cauh#序55000
钞	cauj#序55000
耖	caul#序55000
肏	caup#序55000
剿	cauv#序55000
巢	cauvo#序50000
差	cay#序55000
叉	cayd#序50000
诧	cayg#序50000
衩	cayy#序50000
车	ce#序58000
奢	ced#序55000
砗	cee#序55000
扯	cef#序55000
尺	cek#序58000
且	ceke#序50000
呎	cekk#序55000
赤	cekt#序55000
清	cer#序58000
斜	cerd#序50000
青	cerf#序55000
请	cery#序55000
邪	cey#序55000
此	ci#序58000
柿	cia#序55000
鹚	cib#序55000
赐	cibo#序50000
痴	cibu#序50000
疵	cibv#序50000
慈	cibx#序50000
茬	cic#序55000
刺	cicd#序50000
茨	cicd#序45000
蚩	cici#序50000
茌	cicr#序50000
茈	cicv#序50000
切	cid#序58000
次	cidd#序50000
沏	ciddq#序50000
澈	ciddw#序50000
踅	cidf#序55000
撤	cidfw#序50000
辙	cidi#序55000
汜	cidk#序50000
粢	cidm#序50000
彻	cidr#序55000
治	cids#序50000
瓷	cidw#序50000
池	cidy#序50000
设	cidyj#序50000
磁	cie#序55000
耻	ciev#序50000
豕	ciev#序45000
持	cif#序55000
魑	cig#序55000
弛	cigy#序50000
黐	cih#序55000
炽	cihk#序50000
郗	cii#序55000
厕	ciib#序50000
螭	ciiw#序50000
帜	cij#序55000
赤	cik#序58000
槭	cika#序55000
嗤	cikc#序50000
托	cikf#序55000
敕	cikh#序55000
斥	cikj#序55000
嘁	cikk#序55000
叱	cikkq#序50000
哧	cikt#序50000
螫	cikti#序50000
饬	ciku#序55000
嘁	cikw#序50000
戚	cikwu#序50000
讬	ciky#序55000
啻	cil#序55000
签	cim#序58000
糍	cimb#序50000
潜	cimd#序55000
歼	cimh#序55000
椠	cimi#序55000
堑	cimit#序50000
铦	cimj#序55000
锓	cimjx#序50000
暹	cimo#序55000
僭	cimr#序55000
佥	cimrh#序50000
纤	cims#序55000
眵	cimx#序50000
驰	cimy#序50000
谄	cimyd#序50000
前	cin#序58000
冁	cinb#序55000
媸	cinc#序50000
芊	cincq#序50000
浅	cind#序55000
瀍	cindg#序50000
阡	cine#序55000
扦	cinf#序55000
廛	cing#序55000
钱	cinj#序55000
钎	cinjq#序50000
阐	cinm#序55000
千	cinp#序55000
迁	cinq#序55000
仟	cinr#序55000
始	cins#序50000
姒	cins#序45000
缠	cinsg#序50000
躔	cinz#序55000
践	cinzj#序50000
匙	cio#序55000
脐	ciow#序50000
妾	cip#序58000
辞	ciq#序55000
情	cir#序58000
柽	cira#序55000
菁	circ#序55000
矢	cird#序50000
澄	cirdd#序50000
清	cirdf#序50000
拯	cirf#序55000
青	cirfo#序50000
程	cirh#序55000
称	cirhd#序50000
秤	cirhp#序50000
蛏	ciri#序55000
蜻	cirif#序50000
锃	cirj#序55000
呈	cirk#序55000
逞	cirkz#序50000
骋	cirm#序55000
瞪	cirmd#序50000
晴	ciro#序55000
腈	cirof#序50000
氰	cirq#序55000
惩	cirr#序55000
似	cirs#序50000
埕	cirt#序55000
饧	ciru#序55000
圊	cirw#序55000
侈	cirx#序50000
请	ciry#序55000
鲭	ciryf#序50000
裎	ciryk#序50000
酲	ciryk#序45000
墀	cit#序55000
朝	ciu#序58000
樵	ciua#序55000
潮	ciud#序55000
鞘	ciug#序55000
锹	ciuj#序55000
