---config@码表分类=主码-1
---config@码表别名=系统词库
---config@允许编辑=是

一个	yqt go
我们	ro mun
自己	ji gei
没有	mut yqu
可以	ho yi
发展	fat jin
中国	jur xok
工作	gur jok
什么	sqm mo
这个	je go
就是	jqu si
他们	ta mun
问题	mqn tqi
进行	jxn hqr
社会	se wui
企业	kei yip
经济	gir jqi
知道	ji dou
这样	je yzr
研究	yin gqu
现在	yin joi
还是	wan si
因为	yqn wqi
教育	gau yuk
国家	xok ga
今天	gqm tin
时间	si gan
管理	gun lei
不能	bqt nqr
市场	si czr
活动	wut dur
建设	gin cit
已经	yi gir
如果	yv xo
怎么	jqm mo
技术	gei sxt
重要	jur yiu
生产	sqr can
生活	sqr wut
世界	sqi gai
时候	si hqu
一种	yqt jur
第一	dqi yqt
喜欢	hei fun
人民	yqn mqn
大家	dai ga
这种	je jur
开始	hoi ci
通过	tur xo
需要	sxi yiu
一定	yqt dir
可能	ho nqr
提高	tqi gou
你们	nei mun
也不	ya bqt
学生	hok sar
这是	je si
哈哈	ha ha
中的	jur dik
方法	for fat
主要	jv yiu
系统	hqi tur
这些	je se
一起	yqt hei
影响	yir hzr
发现	fat yin
要求	yiu kqu
那么	na mo
一些	yqt se
还有	wan yqu
起来	hei loi
看到	hon dou
作用	jok yur
结果	git xo
同时	tur si
情况	cir for
真的	jqn dik
关系	xan hqi
组织	jou jik
不同	bqt tur
这么	je mo
上海	szr hoi
我国	ro xok
必须	bit sxi
公司	gur si
但是	dan si
北京	bqk gir
所以	so yi
发生	fat sqr
不知	bqt ji
认为	yir wqi
由于	yqu yv
觉得	gok dqk
也是	ya si
治疗	ji liu
文化	mqn fa
希望	hei mor
政府	jir fu
成为	sir wqi
出现	cxt yin
方面	for min
领导	lir dou
为了	wqi liu
服务	fuk mou
美国	mei xok
只有	ji yqu
产品	can bqn
具有	gxi yqu
使用	si yur
作为	jok wqi
只是	ji si
有关	yqu xan
环境	wan gir
科学	fo hok
目前	muk cin
因此	yqn ci
全国	cvn xok
思想	si szr
设计	cit gqi
信息	sxn sik
国际	xok jqi
学习	hok jap
分析	fqn sik
过程	xo cir
一下	yqt ha
应该	yir goi
基础	gei co
一次	yqt ci
一直	yqt jik
出来	cxt loi
而且	yi ce
控制	hur jqi
东西	dur sqi
能力	nqr lik
部门	bou mun
支持	ji ci
记者	gei je
精神	jir sqn
城市	sir si
孩子	hai ji
改革	goi gak
人员	yqn yvn
所有	so yqu
其中	kei jur
一样	yqt yzr
地方	dei for
朋友	pqr yqu
各种	gok jur
不过	bqt xo
得到	dqk dou
那个	na go
实现	sqt yin
基本	gei bun
结构	git kqu
最后	jxi hqu
质量	jqt lzr
细胞	sqi bau
增加	jqr ga
存在	cvn joi
这里	je lxi
以及	yi kqp
感觉	gqm gok
女人	nxi yqn
工程	gur cir
形成	yir sir
一点	yqt dim
采用	coi yur
代表	doi biu
不可	bqt ho
个人	go yqn
提供	tqi gur
建立	gin lap
第二	dqi yi
特别	dqk bit
选择	svn jak
学校	hok hau
根据	gqn gxi
开发	hoi fat
方式	for sik
然后	yin hqu
之间	ji gan
今年	gqm nin
虽然	sxi yin
比较	bei gau
一般	yqt bun
标准	biu jxn
加强	ga kzr
条件	tiu gin
功能	gur nqr
投资	tqu ji
历史	lik si
解决	gai kvt
自然	ji yin
利用	lei yur
处理	cv lei
很多	hqn do
男人	nam yqn
知识	ji sik
继续	gqi juk
制度	jqi dou
一切	yqt cqi
到了	dou liu
其实	kei sqt
明显	mir hin
可是	ho si
提出	tqi cxt
获得	wok dqk
安全	on cvn
理论	lei lxn
别人	bit yqn
其他	kei ta
应用	yir yur
人们	yqn mun
对于	dxi yv
健康	gin hor
幸福	hqr fuk
参加	cam ga
过去	xo hxi
现代	yin doi
回复	wui fuk
决定	kvt dir
产生	can sqr
以上	yi szr
干部	gon bou
变化	bin fa
一天	yqt tin
努力	nou lik
教学	gau hok
群众	zqn jur
资源	ji yvn
不断	bqt tvn
许多	hxi do
项目	hor muk
表示	biu si
规定	zqi dir
的话	dik wa
以后	yi hqu
完全	yvn cvn
成功	sir gur
非常	fei szr
如何	yv ho
那些	na se
有些	yqu se
实际	sqt jqi
有效	yqu hau
积极	jik gik
认识	yir sik
直接	jik jip
单位	dan wqi
明天	mir tin
政治	jir ji
完成	yvn sir
小时	siu si
表现	biu yin
经营	gir yir
之后	ji hqu
部分	bou fqn
患者	wan je
终于	jur yv
中心	jur sqm
关注	xan jv
达到	dat dou
并不	bir bqt
保护	bou wu
坚持	gin ci
进入	jxn yqp
任何	yqm ho
日本	yqt bun
才能	coi nqr
事情	si cir
原因	yvn yqn
内容	noi yur
注意	jv yi
行为	hqr wqi
看看	hon hon
包括	bau kut
计算	gqi svn
原来	yvn loi
突然	dqt yin
正在	jir joi
报道	bou dou
结合	git hqp
地区	dei kxi
政策	jir cak
合作	hqp jok
只要	ji yiu
运动	wqn dur
目标	muk biu
本报	bun bou
人生	yqn sqr
网络	mor lok
告诉	gou sou
如此	yv ci
无法	mou fat
快乐	fai lok
效果	hau xo
改变	goi bin
不仅	bqt gqn
计划	gqi wak
准备	jxn bei
检查	gim ca
不错	bqt co
科技	fo gei
价值	ga jik
会议	wui yi
增长	jqr jzr
意义	yi yi
国内	xok noi
严重	yim jur
十分	sqp fqn
另一	lir yqt
法律	fat lxt
专业	jvn yip
地址	dei ji
每天	mui tin
最大	jxi dai
促进	cuk jxn
正常	jir szr
综合	jur hqp
真是	jqn si
艺术	rqi sxt
稳定	wqn dir
实施	sqt si
造成	jou sir
真正	jqn jir
甚至	sqm ji
能够	nqr gqu
传统	cvn tur
责任	jak yqm
生命	sqr mir
数据	sou gxi
价格	ga gak
经过	gir xo
了解	liu gai
实验	sqt yim
机构	gei kqu
工业	gur yip
电话	din wa
回来	wui loi
第三	dqi sam
保证	bou jir
临床	lqm cor
大学	dai hok
调查	diu ca
教师	gau si
培养	pui yzr
因素	yqn sou
开展	hoi jin
农业	nur yip
材料	coi liu
晚上	man szr
取得	cxi dqk
推荐	txi jin
开心	hoi sqm
转发	jvn fat
回家	wui ga
参与	cam yv
程度	cir dou
有点	yqu dim
产业	can yip
以为	yi wqi
相信	szr sxn
或者	wak je
分别	fqn bit
永远	wir yvn
更多	gqr do
而是	yi si
引起	yqn hei
形式	yir sik
重点	jur dim
根本	gqn bun
同志	tur ji
充分	cur fqn
农村	nur cvn
接受	jip squ
机会	gei wui
只能	ji nqr
分享	fqn hzr
关于	xan yv
几个	gei go
全面	cvn min
减少	gam siu
措施	cou si
人才	yqn coi
资金	ji gqm
多少	do siu
以来	yi loi
任务	yqm mou
建筑	gin juk
容易	yur yi
保持	bou ci
是否	si fqu
实践	sqt cin
经验	gir yim
随着	cxi jzk
竞争	gir jqr
爱情	oi cir
创造	cor jou
每一	mui yqt
当然	dor yin
最近	jxi gqn
分钟	fqn jur
心理	sqm lei
简单	gan dan
创新	cor sqn
统一	tur yqt
全部	cvn bou
监督	gam duk
电影	din yir
发挥	fat fqi
总是	jur si
整个	jir go
眼睛	ran jir
调整	tiu jir
好好	hou hou
