嗷嗷待哺	aadb
阿拉	aala
阿姨	aay
阿姨	aayi
爱不释手	abuu
爱财如命	acrm
暗渡陈仓	adic
爱尔兰	ael
阿富汗	afh
阿根廷	agt
爱国者	agv
哀鸿遍野	ahby
昂贵	ahgv
盎然	ahrj
爱好者	ahv
肮脏	ahz
肮脏	ahzh
哀悼	aidc
爱戴	aidd
爱抚	aifu
爱国	aig
爱国	aigo
爱好	aih
爱好	aihc
爱护	aihu
埃及	aiji
爱慕	aimu
暧昧	aimw
爱你	aini
爱情	aiq
爱情	aiqk
哀求	aiqq
爱人	air
爱人	airf
哀叹	aitj
爱上	aiuh
癌症	aivg
爱我	aiwo
爱心	aix
爱心	aixb
爱惜	aixi
哎呀	aiya
哎哟	aiyo
哀乐	aiyt
艾滋	aiz
艾滋	aizi
安居乐业	ajly
阿拉伯	alb
暗暗	anan
岸边	anbm
按此	anci
暗淡	andj
安定	andk
安放	anfh
案犯	anfj
安抚	anfu
黯然	anhr
安徽	anhv
安插	ani
安插	ania
鹌鹑	aniy
安静	anjk
按键	anjm
按揭	anjp
安居	anju
安家	anjx
安康	ankh
案例	anl
案例	anli
暗恋	anlm
按摩	anmo
按钮	ann
按捺	anna
安宁	annk
按钮	annq
安排	anp
安排	anpd
按期	anqi
案情	anqk
安全	anqr
黯然	anrj
暗算	ans
暗算	ansr
按时	anu
暗杀	anua
暗示	anui
鞍山	anuj
按照	anv
按照	anvc
安置	anvi
安装	anvl
暗中	anvs
安慰	anw
安稳	anwf
安慰	anww
安心	anx
安心	anxb
安息	anxi
安详	anxl
按下	anxx
暗夜	anye
熬到	aodc
奥迪	aodi
傲慢	aom
澳门	aomf
奥秘	aomi
傲慢	aomj
奥妙	aomn
懊恼	aonc
懊丧	aosh
澳洲	aov
澳洲	aovz
翱翔	aoxl
奥运	aoyy
安然无恙	arwy
埃塞俄比亚	asey
奥斯卡	ask
按图索骥	atsj
昂首挺胸	autx
安之若素	avrs
爱屋及乌	awjw
奥运会	ayh
爱憎分明	azfm
爸爸	baba
把柄	babk
八方	bafh
拔高	bagc
把关	bagr
罢工	bags
八卦	bagx
疤痕	bah
疤痕	bahf
跋扈	bahu
八成	baig
把持	baii
巴结	bajp
罢了	bale
巴黎	bali
罢免	bamm
霸权	baq
霸权	baqr
跋涉	baue
八十	baui
霸占	bavj
霸主	bavu
把握	baw
霸王	bawh
把握	bawo
把戏	bax
巴西	baxi
八一	bayi
八月	bayt
缤纷	bbff
宾馆	bbgr
滨海	bbhd
百步穿杨	bbiy
变本加厉	bbjl
比比皆是	bbju
濒临	bbl
濒临	bblb
斑驳陆离	bbll
濒危	bbww
兵不血刃	bbxr
北冰洋	bby
彬彬有礼	bbyl
兵不厌诈	bbyv
殡葬	bbzh
保安	bcan
宝宝	bcbc
包庇	bcbi
包办	bcbj
报表	bcbn
宝贝	bcbw
保存	bccy
报答	bcda
报道	bcdc
宝地	bcdi
保定	bcdk
宝典	bcdm
暴跌	bcdp
暴动	bcds
爆发	bcfa
暴风	bcfg
报复	bcfu
包袱	bcfu
报废	bcfw
报告	bcg
报告	bcgc
曝光	bcgl
本草纲目	bcgm
包裹	bcgo
保管	bcgr
宝贵	bcgv
饱和	bche
包含	bchj
保护	bchu
保持	bci
保持	bcii
报酬	bciz
保健	bcj
宝鸡	bcji
报警	bcjk
保健	bcjm
保洁	bcjp
报价	bcjx
包括	bck
报考	bckc
报刊	bckj
包括	bcko
宝库	bcku
保留	bcl
暴力	bcli
包揽	bclj
保留	bclq
暴露	bclu
堡垒	bclw
保密	bcm
宝马	bcma
保密	bcmi
饱满	bcmj
报名	bcmk
薄膜	bcmo
保姆	bcmu
保暖	bcnr
报批	bcpi
抱歉	bcq
报请	bcqk
抱歉	bcqm
保全	bcqr
薄弱	bcro
包容	bcrs
报送	bcs
报送	bcss
包头	bctz
报社	bcue
宝石	bcui
保守	bcuz
爆炸	bcva
抱着	bcve
保证	bcvg
保障	bcvh
报纸	bcvi
包装	bcvl
保重	bcvs
