阿爸	aaba
嗷嗷待哺	aadb
阿哥	aage
啊哈	aaha
安安静静	aajj
阿拉	aala
阿妈	aama
阿门	aamf
阿曼	aamj
阿妹	aamw
阿婆	aapo
安安稳稳	aaww
阿姨	aay
啊呀	aaya
阿姨	aayi
啊哟	aayo
按兵不动	abbd
哀兵必胜	abbu
安邦定国	abdg
阿鼻地狱	abdy
矮半截	abj
按部就班	abjb
爱别离苦	ablk
鞍不离马	ablm
爱不释手	abuu
挨板子	abz
爱才若渴	acrk
爱财如命	acrm
暗渡陈仓	adic
澳大利亚	adly
暗淡无光	adwg
安度晚年	adwn
阿尔及尔	aeje
爱尔兰	ael
阿富汗	afh
安分守己	afuj
安哥拉	agl
阿根廷	agt
熬更守夜	aguy
爱国者	agv
爱国主义	agvy
哀鸿遍野	ahby
昂贵	ahgv
昂起	ahq
爱恨情仇	ahqi
盎然	ahrj
盎司	ahsi
昂首	ahuz
爱好者	ahv
昂扬	ahyh
肮脏	ahz
肮脏	ahzh
皑皑	aiai
癌变	aibm
爱才	aicd
挨打	aid
挨打	aida
哀悼	aidc
爱戴	aidd
爱得	aide
爱党	aidh
爱读	aidu
挨饿	aiee
挨罚	aifa
爱抚	aifu
爱妃	aifw
爱国	aig
哀告	aigc
挨个	aige
爱岗	aigh
爱国	aigo
爱给	aigw
爱好	aih
爱好	aihc
爱河	aihe
爱恨	aihf
爱火	aiho
哀鸿	aihs
爱护	aihu
哀愁	aii
爱巢	aiic
爱称	aiig
爱唱	aiih
爱吃	aiii
哀愁	aiiz
挨近	aijb
埃及	aiji
爱将	aijl
挨肩	aijm
哀叫	aijn
挨家	aijx
哀恳	aikf
爱看	aikj
爱哭	aiku
隘口	aikz
爱恋	ail
挨了	aile
爱郎	ailh
爱恋	ailm
爱侣	ailv
挨骂	aima
挨门	aimf
哀鸣	aimk
爱慕	aimu
暧昧	aimw
爱你	aini
爱女	ainv
矮胖	aiph
爱情	aiq
爱妻	aiqi
爱情	aiqk
矮墙	aiql
爱钱	aiqm
哀切	aiqp
哀求	aiqq
爱犬	aiqr
爱人	air
爱人	airf
哀思	aisi
爱他	aita
哀啼	aiti
哀叹	aitj
爱听	aitk
哀痛	aits
爱徒	aitu
爱神	aiuf
爱上	aiuh
碍事	aiui
碍手	aiuz
挨着	aiv
爱着	aive
癌症	aivg
爱之	aivi
爱玩	aiwj
爱我	aiwo
爱心	aix
爱心	aixb
爱惜	aixi
矮小	aixn
暗潮汹涌	aixy
哎呀	aiya
爱意	aiyi
碍眼	aiyj
哎哟	aiyo
哀怨	aiyr
爱用	aiys
哀乐	aiyt
碍于	aiyu
艾滋	aiz
哀哉	aizd
爱憎	aizg
艾滋	aizi
挨揍	aizz
挨家挨户	ajah
挨肩擦背	ajcb
安家落户	ajlh
安居乐业	ajly
阿基米德	ajmd
暗箭难防	ajnf
氨基酸	ajs
暗箭伤人	ajur
阿拉伯	alb
安理会	alh
奥林匹克	alpk
阿联酋	alq
按劳取酬	alqi
安乐死	als
按理说	alu
安乐窝	alw
哀莫大于心死	amds
鞍马劳顿	amld
爱莫能助	amnv
爱民如子	amrz
爱美之心	amvx
奥妙无穷	amwq
安眠药	amy
爱面子	amz
暗暗	anan
暗堡	anbc
安邦	anbh
案板	anbj
岸边	anbm
按捺不住	anbv
暗藏	anch
按此	anci
暗道	andc
俺的	ande
暗地	andi
暗淡	andj
安定	andk
安度	andu
安顿	andy
案发	anfa
安分	anff
暗讽	anfg
安放	anfh
案犯	anfj
安抚	anfu
暗格	ange
鞍钢	angh
暗鬼	angv
暗沟	angz
暗号	anhc
暗害	anhd
暗合	anhe
暗含	anhj
暗黄	anhl
黯然	anhr
暗红	anhs
安徽	anhv
暗黑	anhw
安魂	anhy
安插	ani
安插	ania
暗潮	anic
暗娼	anih
暗疮	anil
暗处	aniu
鹌鹑	aniy
按金	anjb
按季	anji
安静	anjk
按键	anjm
暗礁	anjn
按揭	anjp
案卷	anjr
安居	anju
安家	anjx
安可	anke
安康	ankh
暗亏	ankv
暗扣	ankz
案例	anl
安拉	anla
安乐	anle
案例	anli
按铃	anlk
暗恋	anlm
暗流	anlq
暗绿	anlv
按类	anlw
鞍马	anma
安民	anmb
暗门	anmf
安曼	anmj
安眠	anmm
按摩	anmo
按钮	ann
按捺	anna
安能	anng
安宁	annk
按年	annm
按钮	annq
安排	anp
安排	anpd
安寝	anqb
按期	anqi
案情	anqk
安全	anqr
暗渠	anqu
按日	anri
黯然	anrj
暗算	ans
暗色	anse
暗锁	anso
暗算	ansr
安泰	antd
暗探	antj
安恬	antm
安妥	anto
案头	antz
按时	anu
暗杀	anua
暗哨	anuc
安设	anue
安神	anuf
安生	anug
岸上	anuh
暗示	anui
鞍山	anuj
按说	anuo
谙熟	anuu
安睡	anuv
安顺	anuy
按照	anv
按照	anvc
按着	anve
安枕	anvf
安置	anvi
安装	anvl
暗中	anvs
按住	anvu
安慰	anw
安稳	anwf
安卧	anwo
安慰	anww
安心	anx
安心	anxb
安息	anxi
安详	anxl
安闲	anxm
暗笑	anxn
按需	anxu
按下	anxx
按压	anya
暗夜	anye
安逸	anyi
暗影	anyk
暗涌	anys
按月	anyt
暗语	anyu
暗自	anz
安在	anzd
安葬	anzh
案子	anzi
安坐	anzo
傲岸	aoan
嗷嗷	aoao
熬到	aodc
奥迪	aodi
熬过	aogo
傲骨	aogu
懊悔	aoh
懊悔	aohv
凹处	aoiu
凹进	aojb
凹镜	aojk
拗口	aokz
傲慢	aom
澳门	aomf
奥秘	aomi
傲慢	aomj
凹面	aomm
奥妙	aomn
懊恼	aonc
傲气	aoqi
懊丧	aosh
熬汤	aoth
奥拓	aoto
凹凸	aotu
鳌头	aotz
傲视	aoui
澳洲	aov
熬着	aove
鏖战	aovj
澳洲	aovz
翱翔	aoxl
凹陷	aoxm
熬药	aoyc
熬夜	aoye
奥运	aoyy
遨游	aoyz
安贫乐道	apld
爱琴海	aqh
鞍前马后	aqmh
爱钱如命	aqrm
安如泰山	artu
黯然失色	arus
黯然神伤	aruu
安然无恙	arwy
黯然销魂	arxh
傲然屹立	aryl
埃塞俄比亚	asey
爱斯基摩	asjm
奥斯卡	ask
阿司匹林	aspl
