阿爸	aaba
阿哥	aage
啊哈	aaha
安安静静	aajj
阿妈	aama
阿门	aamf
阿曼	aamj
阿妹	aamw
阿婆	aapo
安安稳稳	aaww
啊呀	aaya
啊哟	aayo
按兵不动	abbd
哀兵必胜	abbu
安邦定国	abdg
阿鼻地狱	abdy
矮半截	abj
按部就班	abjb
爱别离苦	ablk
鞍不离马	ablm
挨板子	abz
爱才若渴	acrk
澳大利亚	adly
暗淡无光	adwg
安度晚年	adwn
阿尔及尔	aeje
安分守己	afuj
安哥拉	agl
熬更守夜	aguy
爱国主义	agvy
昂起	ahq
爱恨情仇	ahqi
盎司	ahsi
昂首	ahuz
昂扬	ahyh
皑皑	aiai
癌变	aibm
爱才	aicd
挨打	aid
挨打	aida
爱得	aide
爱党	aidh
爱读	aidu
挨饿	aiee
挨罚	aifa
爱妃	aifw
哀告	aigc
挨个	aige
爱岗	aigh
爱给	aigw
爱河	aihe
爱恨	aihf
爱火	aiho
哀鸿	aihs
哀愁	aii
爱巢	aiic
爱称	aiig
爱唱	aiih
爱吃	aiii
哀愁	aiiz
挨近	aijb
爱将	aijl
挨肩	aijm
哀叫	aijn
挨家	aijx
哀恳	aikf
爱看	aikj
爱哭	aiku
隘口	aikz
爱恋	ail
挨了	aile
爱郎	ailh
爱恋	ailm
爱侣	ailv
挨骂	aima
挨门	aimf
哀鸣	aimk
爱女	ainv
矮胖	aiph
爱妻	aiqi
矮墙	aiql
爱钱	aiqm
哀切	aiqp
爱犬	aiqr
哀思	aisi
爱他	aita
哀啼	aiti
爱听	aitk
哀痛	aits
爱徒	aitu
爱神	aiuf
碍事	aiui
碍手	aiuz
挨着	aiv
爱着	aive
爱之	aivi
爱玩	aiwj
矮小	aixn
暗潮汹涌	aixy
爱意	aiyi
碍眼	aiyj
哀怨	aiyr
爱用	aiys
碍于	aiyu
哀哉	aizd
爱憎	aizg
挨揍	aizz
挨家挨户	ajah
挨肩擦背	ajcb
安家落户	ajlh
阿基米德	ajmd
暗箭难防	ajnf
氨基酸	ajs
暗箭伤人	ajur
安理会	alh
奥林匹克	alpk
阿联酋	alq
按劳取酬	alqi
安乐死	als
按理说	alu
安乐窝	alw
哀莫大于心死	amds
鞍马劳顿	amld
爱莫能助	amnv
爱民如子	amrz
