---config@码表分类=辅码码表
---config@码表别名=笔画
---config@允许编辑=是
# d w s z p
#点横竖折撇

的	pszwwpzd
一	w
是	szwwwswpd
不	wpsd
了	zs
在	wpswsw
有	wpszww
我	pwswzpd
人	pd
他	pszsz
这	dwpddzd
个	pds
们	psdsz
来	wdpwspd
大	wpd
为	dpzd
上	sww
时	szwwwsd
能	zdszwwpzpz
以	zdpd
和	pwspdszw
要	wszsswzpw
说	dzdpszwpz
就	dwszwspdwpzd
到	wzdwswss
地	wswzsz
可	wszws
那	zwwpzs
国	szwwswdw
会	pdwwzd
也	zsz
中	szws
生	pwwsw
子	zsw
著	wsswswpszww
出	zsszs
你	pspzspd
家	ddzwpzpppd
多	pzdpzd
得	ppsszwwwwsd
年	pwwsws
用	pzwws
么	pzd
学	ddpdzzsw
下	wsd
去	wswzd
工	wsw
都	wswpszwwzs
于	wws
之	dzd
自	pszwww
对	zdwsd
过	wsddzd
方	dwzp
作	pspwsww
好	zpwzsw
成	wpzzpd
小	spd
样	wspddpwwws
看	pwwpszwww
分	pdzp
十	ws
天	wwpd
面	wpszsswww
发	zpzdd
然	pzddwpdddddd
同	szwszw
从	pdpd
后	ppwszw
动	wwzdzp
种	pwspdszws
所	ppzwppws
没	ddwpzzd
她	zpwzsz
三	www
如	zpwszw
两	wszpdpd
又	zd
此	swswpz
事	wszwzwws
道	dpwpszwwwdzd
还	wpsddzd
而	wpszss
业	ssdpw
起	wswswpdzwz
主	dwwsw
二	ww
行	ppswws
现	wwswszpz
数	dpwspdzpwpwpd
经	zzwzdwsw
心	dzdd
因	szwpdw
想	wspdszwwwdzdd
但	psszwww
很	ppszwwzpd
些	swswpzww
点	swszwdddd
当	sdpzww
物	pwswpzpp
只	szwpd
与	wzw
长	pwzd
前	dpwszwwss
水	szpd
本	wspdw
开	wwps
民	zwzwz
法	ddwwswzd
其	wsswwwpd
见	szpz
进	wwpsdzd
定	ddzwswpd
实	ddzddwpd
日	szww
把	wswzswz
知	pwwpdszw
最	szwwwsswwwzd
问	dszszw
等	pwdpwdwswwsd
体	pswspdw
高	dwszwszszw
已	zwz
各	pzdszw
外	pzdsd
里	szwwsww
意	dwdpwszwwdzdd
由	szwsw
头	ddwpd
力	zp
四	szpzw
无	wwpz
正	wswsw
使	pswszwpd
气	pwwz
做	pswsszwpwpd
部	dwdpwszwzs
理	wwswszwwsww
表	wwswpzpd
全	pdwwsw
将	dwspzdwsd
相	wspdszwww
重	pwszwwsww
间	dszszww
加	zpszw
或	wszwwzpd
手	pwws
常	sdpdzszwszs
情	ddswwswszww
及	pzd
己	zwz
明	szwwpzww
应	dwpddpw
它	ddzpz
机	wspdpz
产	dwdpwp
便	pswszwwpd
度	dwpwsswzd
回	szszww
位	psdwdpw
向	pszszw
儿	pz
公	pdzd
少	spdp
形	wwpsppp
电	szwwz
老	wswppz
候	psszwpwwpd
果	szwwwspd
量	szwwwszwwsww
几	pz
第	pwdpwdzwzsp
什	psws
活	ddwpwsszw
走	wswswpd
直	wsszwwww
比	wzpz
化	pspz
身	pszwwwp
义	dpd
先	pwswpz
线	zzwwwzpd
平	wdpws
美	dpwwswwpd
利	pwspdss
文	dwpd
原	wppszwwspd
再	wszsww
给	zzwpdwszw
新	dwdpwwspdppws
代	pswzd
变	dwsspdzd
西	wszpzw
解	pzpzwwszppwws
关	dpwwpd
才	wsp
立	dwdpw
并	dpwwps
边	zpdzd
政	wswswpwpd
元	wwpz
别	szwzpss
员	szwszpd
真	wsszwwwwpd
声	wswzswp
合	pdwszw
教	wswpzswpwpd
话	dzpwsszw
每	pwzzdwd
太	wpdd
更	wszwwpd
五	wszw
叫	szwzs
内	szpd
月	pzww
百	wpszww
甚	wsswwwpdz
女	zpw
至	wzdwsw
呢	szwzwppz
次	dwpzpd
题	szwwwswpdwpszpd
受	pddpdzzd
社	dzsdwsw
放	dwzppwpd
山	szs
入	pd
九	pz
计	dzws
今	pddz
战	swszwwzpd
东	wzspd
怎	pwswwdzdd
被	dzspdzpszd
总	dpszwdzdd
结	zzwwswszw
则	szpdss
听	szwppws
眼	szwwwzwwzpd
打	wswws
庭	dwppwswzd
名	pzdszw
光	sdpwpz
路	szwswswpzdszw
车	wzws
必	dzdpd
命	pdwszwzs
反	ppzd
角	pzpzwws
性	ddspwwsw
书	zzsd
