双双	aaaa
双轨	aacx
双方	aadh
双赢	aadl
双击	aafu
双眼	aage
双语	aaiw
双手	aajf
双唇	aajf
双向	aajn
双面	aajq
双重	aajt
双边	aajz
欢欢喜喜	aall
双层	aapf
备忘录	ades
冬眠	adgp
冬季	adhz
冬瓜	adjj
冬天	adty
艰难	aeat
艰辛	aedx
艰巨	aegi
艰苦	aehx
处理器	aeoo
艰险	aepv
鸡蛋	agjl
又是	aibt
又要	aicr
又名	aido
又能	aigd
圣诞节	aihp
又说	aiiv
又不	aijy
又将	aikd
对话框	aimc
又一	aiti
又会	aivf
又有	aixd
又在	aixi
劝导	ajex
劝说	ajiv
劝告	ajjl
对不起	ajll
务实	ajnd
劝阻	ajpq
对症下药	ajth
务必	ajuj
对答如流	akrs
对簿公堂	akvw
对牛弹琴	akze
圣诞	alij
圣贤	alna
圣旨	altb
圣人	alvi
圣经	alwz
条文	amdx
条理	ameb
条规	amfv
条目	amgi
条款	amlf
条件	amtk
条例	amtt
邓小平	amtv
条约	amws
条子	amzi
观音	andb
观望	andl
观看	anjf
观摩	anjm
观察	annx
观测	ansb
观念	anvj
观众	anvv
观赏	anwn
观光	anww
观点	anyo
难兄难弟	aoav
各处	aoay
各方	aodh
各异	aoeh
各种	aoho
各项	aoij
各自	aojg
欢蹦乱跳	aojo
各地	aolc
各省	aomj
欢呼雀跃	aomo
各样	aomv
各国	aoqe
各界	aoqv
各位	aotd
各式	aoti
各个	aovi
各人	aovi
各单位	aovt
各级	aowj
各有	aoxd
鸡鸣狗盗	aoxv
各类	aoxy
各尽所能	apjg
邓小平	apmt
备忘	aqdl
备课	aqib
备受	aqjn
备用	aqnf
备案	aqnr
备注	aqsd
备份	aqtv
备有	aqxd
备战	aqyo
欢乐	arcm
欢迎	arcp
欢腾	ardv
欢欣	arjk
欢笑	arkj
欢喜	arlo
欢呼	aroj
欢送	arvy
欢快	aryz
难题	atbt
难忘	atdl
难于	atfi
难说	ativ
难看	atjf
难度	atjh
难受	atjn
难办	atjv
欢歌笑语	atki
难以	atld
难堪	atlq
难听	atoj
难民	atpt
难免	atro
难得	atsb
又一个	atvi
难道	atvj
又一次	atvr
难关	atvy
难过	atxd
难怪	atya
难点	atyo
处心积虑	auhy
对照	axbd
对头	axdd
对方	axdh
