双双	aaaa
双星	aabj
双轨	aacx
叠韵	aadb
双方	aadh
桑巴	aadl
双脚	aadl
双赢	aadl
双膝	aadm
双亲	aadm
双肩	aadp
双峰	aaea
双拥	aafn
双打	aaft
双击	aafu
双拼	aafv
双规	aafv
双眼	aage
双眸	aagg
双薪	aahd
双程	aaho
桑葚	aahq
双语	aaiw
双百	aajb
双手	aajf
双唇	aajf
双翼	aajj
叠翠	aajj
双向	aajn
叠加	aajo
双面	aajq
双重	aajt
双边	aajz
双簧	aakh
欢欢喜喜	aall
双喜	aalo
桑树	aama
桑梓	aamd
双杠	aami
桑叶	aaox
双层	aapf
双耳	aapi
双臂	aapo
艰难险阻	aapp
双屏	aapv
艰难困苦	aaqh
桑田	aaqi
双倍	aatd
双休	aatm
双颊	aatv
桑蚕	aaty
艰难曲折	aauf
双钩	aavs
双关	aavy
双掌	aawn
双料	aaxd
双雄	aaxg
双数	aaxr
各显神通	abjd
双轨制	ackn
欢迎光临	acwn
各就各位	adat
叉车	adci
叉腰	addc
双胞胎	addg
冬衣	addk
处之泰然	aded
冬耕	adem
备忘录	ades
双月刊	adfn
对外贸易	adgb
冬眠	adgp
冬菇	adhr
处方药	adhw
冬季	adhz
冬训	adim
冬瓜	adjj
咎由自取	adjp
对立面	adjq
处变不惊	adjy
冬装	adkl
冬闲	adnm
对外联络	adpw
各市县	adqf
冬泳	adsd
对外开放	adtd
冬至	adtg
冬天	adty
冬令	advj
各族人民	advp
双刃剑	advt
对外经济	adws
对立统一	adwt
叉烧	adxx
难为情	adyl
艰难	aeat
艰辛	aedx
艰巨	aegi
艰苦	aehx
处理器	aeoo
艰险	aepv
艰涩	aesd
艰深	aesn
逢迎	afcp
对抗赛	afnf
各执一词	afti
各抒己见	afzn
对台戏	agax
鸡肋	agdj
鸡胸	agds
鸡眼	agge
双眼皮	agja
鸡毛	agjf
鸡蛋	agjl
鸡冠	agnf
鸡肉	agnv
鸡窝	agnv
鸡鸭	agqg
鸡汤	agsz
难能可贵	agtq
鸡翅	agxa
鸡精	agxl
各种各样	aham
观世音	ahdb
艰苦朴素	ahml
艰苦奋斗	ahyd
艰苦卓绝	ahyw
又是	aibt
又要	aicr
又名	aido
难言之隐	aidp
又把	aifd
又能	aigd
圣诞节	aihp
又说	aiiv
又不	aijy
又及	aijz
又将	aikd
圣诞树	aima
对话框	aimc
对讲机	aimw
又问	aino
又叫	aiol
又因	aiqy
又如	airo
又一	aiti
又使	aitt
又来	aitx
又出	aiue
又会	aivf
又给	aiwv
又有	aixd
又在	aixi
圣诞老人	aiyv
劝劝	ajaj
对不对	ajax
又爱又恨	ajay
鸡蛋里挑骨头	ajbd
各自为政	ajdt
双百方针	ajdv
劝退	ajek
劝导	ajex
双边贸易	ajgb
鸡毛蒜皮	ajhj
劝和	ajho
劝诱	ajih
劝诫	ajit
劝谏	ajit
劝说	ajiv
双向选择	ajjf
鸡皮疙瘩	ajjj
劝告	ajjl
劝架	ajjo
叠床架屋	ajjp
劝止	ajli
对不起	ajll
欢欣鼓舞	ajll
务实	ajnd
劝降	ajpa
劝慰	ajpf
务农	ajpk
劝阻	ajpq
难辞其咎	ajqa
各司其职	ajqp
劝解	ajrd
劝勉	ajro
务须	ajsj
劝酒	ajsu
对不住	ajtd
对症下药	ajth
务必	ajuj
双边关系	ajvj
务求	ajxx
双重性	ajyj
务虚	ajyw
双管齐下	akdt
对答如流	akrs
双氧水	aksi
对簿公堂	akvw
对牛弹琴	akze
圣明	albd
难以为继	aldw
难以忘怀	aldy
圣灵	alex
圣药	alhw
圣诞	alij
难上加难	alja
欢喜不迭	aljk
欢声笑语	alki
圣地	allc
圣城	allj
难以想像	almt
圣贤	alna
双喜临门	alnn
欢喜冤家	alnn
难以割舍	alnv
圣殿	alph
圣母	alqs
难以置信	alqt
难以解决	alrv
圣水	alsi
圣洁	alsl
逢场作戏	alta
圣旨	altb
难以形容	altn
欢声雷动	aluf
圣人	alvi
桑塔纳	alwn
圣经	alwz
圣火	alxi
条条	amam
条码	amcs
条文	amdx
条理	ameb
条规	amfv
条目	amgi
桑榆暮景	amhb
冬小麦	amla
条款	amlf
条幅	amni
条案	amnr
条陈	ampt
条形	amth
邓小平理论	amti
条件	amtk
条例	amtt
邓小平	amtv
条令	amvj
条纹	amwd
条约	amws
条绒	amwt
条子	amzi
各家各户	anad
观景	anbd
观音	andb
观望	andl
对内搞活	anfs
观瞻	angr
观看	anjf
观摩	anjm
观感	anjt
观礼	anjy
观止	anli
观察	annx
观察家	annx
观察员	anob
观测	ansb
观念	anvj
