颡	aaab
逄	aciz
螽	addq
夂	aii
攵	aii
怼	axdu
昝	ayb
昴	bcjp
暾	bdoa
旰	bf
晡	bf
晡	bfu
旰	bfu
旰	bfui
晡	bfuj
勖	bgj
晟	bjjx
曛	bjth
昃	bjv
夥	bmdd
贶	bow
赆	bpnd
昵	bpt
韪	btli
晗	bvjo
炅	bx
炅	bxbn
暌	bxty
赕	bxx
赇	bxxd
磉	caam
辂	cao
硌	cao
硌	caoo
辂	caoo
砗	cc
砑	ccij
轹	ccm
轹	ccmi
砗	ccu
砗	ccui
匦	ccx
砬	cd
磔	cdcm
碲	cdni
轺	cdo
碚	cdo
礅	cdoa
碚	cdoo
碥	cdph
砬	cdut
磙	cdvk
矸	cf
矸	cfui
碜	cgys
硭	chdl
礞	chnx
礴	chsd
砹	chx
礤	chxm
匚	cii
迓	cijz
硪	cjfx
椠	cjjm
硇	cjqx
鄄	clp
碡	clqs
砣	cnt
碇	cntl
硐	cnto
碹	cntt
軎	co
軎	cobo
轵	cov
磲	csgm
礓	ctqt
砘	ctul
鸱	ctvt
硖	ctvv
墼	cuwl
辁	cve
砼	cvi
轸	cvs
砜	cwx
轱	cxo
硗	cxtw
轳	cyp
砀	czs
砩	czsn
胂	dbi
腽	dbq
歆	dbrv
鄣	dbxp
眢	dcg
膪	ddno
袤	ddtk
胲	ddyv
腠	devy
肼	dfn
肟	dfs
朊	dfw
旃	dhld
旆	dhli
旄	dhll
旒	dhlm
邡	dhp
於	dhvd
丶	dii
亠	dii
鹛	djgt
翊	djj
胍	djjn
臁	djvm
昶	djxb
脬	djz
腈	dld
腈	dldj
胙	dlk
臌	dloa
蠃	dlod
邙	dlp
胩	dly
栾	dmm
脔	dmnv
娈	dmr
腙	dnfm
脘	dnfw
腚	dntl
肭	dnv
膣	dnvl
劭	doj
劭	dojj
鹫	domt
脶	donv
臊	doom
腭	doos
瓿	dotd
憝	dozu
綮	dpam
扃	dpno
脲	dps
肷	drv
肜	ds
朐	dso
瞀	dtjg
蝥	dtjq
蟊	dtjq
婺	dtjr
鹜	dtjt
鹬	dtjt
鍪	dtjv
胨	dtm
竦	dtom
胗	dvs
腧	dvtn
脞	dvvl
塍	dvyl
媵	dvyr
颃	dwjb
饔	dwjk
脒	dx
膦	dxdi
鬯	dxdt
齑	dxji
脎	dxm
腩	dxnx
腩	dxny
脒	dxui
肽	dyd
颏	dyvb
胫	dzi
峄	eaf
