双星	aabj
叠韵	aadb
桑巴	aadl
双脚	aadl
双膝	aadm
双亲	aadm
双肩	aadp
双峰	aaea
双拥	aafn
双打	aaft
双拼	aafv
双规	aafv
双眸	aagg
双薪	aahd
双程	aaho
桑葚	aahq
双百	aajb
双翼	aajj
叠翠	aajj
叠加	aajo
双簧	aakh
双喜	aalo
桑树	aama
桑梓	aamd
双杠	aami
桑叶	aaox
双耳	aapi
双臂	aapo
艰难险阻	aapp
双屏	aapv
艰难困苦	aaqh
桑田	aaqi
双倍	aatd
双休	aatm
双颊	aatv
桑蚕	aaty
艰难曲折	aauf
双钩	aavs
双关	aavy
双掌	aawn
双料	aaxd
双雄	aaxg
双数	aaxr
各显神通	abjd
双轨制	ackn
欢迎光临	acwn
各就各位	adat
叉车	adci
叉腰	addc
双胞胎	addg
冬衣	addk
处之泰然	aded
冬耕	adem
双月刊	adfn
对外贸易	adgb
冬菇	adhr
处方药	adhw
冬训	adim
咎由自取	adjp
对立面	adjq
处变不惊	adjy
冬装	adkl
冬闲	adnm
对外联络	adpw
各市县	adqf
冬泳	adsd
对外开放	adtd
冬至	adtg
冬令	advj
各族人民	advp
双刃剑	advt
对外经济	adws
对立统一	adwt
叉烧	adxx
难为情	adyl
艰涩	aesd
艰深	aesn
逢迎	afcp
对抗赛	afnf
各执一词	afti
各抒己见	afzn
对台戏	agax
鸡肋	agdj
鸡胸	agds
鸡眼	agge
双眼皮	agja
鸡毛	agjf
鸡冠	agnf
鸡肉	agnv
鸡窝	agnv
鸡鸭	agqg
鸡汤	agsz
难能可贵	agtq
鸡翅	agxa
鸡精	agxl
各种各样	aham
观世音	ahdb
艰苦朴素	ahml
艰苦奋斗	ahyd
艰苦卓绝	ahyw
难言之隐	aidp
又把	aifd
又及	aijz
圣诞树	aima
对讲机	aimw
又问	aino
又叫	aiol
又因	aiqy
又如	airo
又使	aitt
又来	aitx
又出	aiue
又给	aiwv
圣诞老人	aiyv
劝劝	ajaj
对不对	ajax
又爱又恨	ajay
鸡蛋里挑骨头	ajbd
各自为政	ajdt
双百方针	ajdv
劝退	ajek
双边贸易	ajgb
鸡毛蒜皮	ajhj
劝和	ajho
劝诱	ajih
劝诫	ajit
劝谏	ajit
双向选择	ajjf
鸡皮疙瘩	ajjj
劝架	ajjo
叠床架屋	ajjp
劝止	ajli
欢欣鼓舞	ajll
劝降	ajpa
劝慰	ajpf
务农	ajpk
难辞其咎	ajqa
各司其职	ajqp
劝解	ajrd
劝勉	ajro
务须	ajsj
劝酒	ajsu
对不住	ajtd
双边关系	ajvj
务求	ajxx
双重性	ajyj
务虚	ajyw
双管齐下	akdt
双氧水	aksi
圣明	albd
难以为继	aldw
难以忘怀	aldy
圣灵	alex
圣药	alhw
难上加难	alja
欢喜不迭	aljk
欢声笑语	alki
圣地	allc
圣城	allj
难以想像	almt
双喜临门	alnn
欢喜冤家	alnn
难以割舍	alnv
圣殿	alph
圣母	alqs
难以置信	alqt
难以解决	alrv
圣水	alsi
圣洁	alsl
逢场作戏	alta
难以形容	altn
欢声雷动	aluf
桑塔纳	alwn
圣火	alxi
条条	amam
条码	amcs
桑榆暮景	amhb
冬小麦	amla
条幅	amni
条案	amnr
条陈	ampt
条形	amth
邓小平理论	amti
条令	amvj
条纹	amwd
条绒	amwt
各家各户	anad
观景	anbd
对内搞活	anfs
观瞻	angr
观感	anjt
观礼	anjy
观止	anli
观察家	annx
观察员	anob
各条	aoam
各区	aocx
各族	aodh
各市	aodn
各部	aodo
各地区	aolc
各省市	aomd
各别	aooj
各路	aool
各层	aopf
各县	aoqf
各色	aord
各派	aosj
各半	aovx
各占	aoyo
各民族	apdh
双职工	apii
各取所需	apju
鸡尾酒	apsu
欢聚一堂	aptw
戏剧性	apyj
各县区	aqcx
备耕	aqem
备勤	aqho
冬虫夏草	aqjh
备选	aqjl
备办	aqjv
备查	aqmb
备述	aqmd
备灾	aqnx
备取	aqpa
鸡鸭鱼肉	aqrn
备好	aqrz
备汛	aqsz
备至	aqtg
备件	aqtk
备货	aqtt
备料	aqxd
备考	aqys
难解难分	arav
欢畅	arbi
欢颜	ardj
欢度	arjh
欢庆	arjy
处女地	arlc
欢声	arld
欢唱	arob
欢聚	arpa
欢娱	arro
欢歌	arto
欢心	arui
对角线	arwf
欢悦	aryv
欢愉	aryv
各行各业	asaw
对得起	asll
各行其是	asqb
各得其所	asqj
对酒当歌	aswt
各行业	aswt
难得糊涂	asxs
各式各样	atam
难处	atay
双休日	atbi
难产	atdj
难为	atdj
难找	atfx
难言	atii
难耐	atjn
欢天喜地	atll
难闻	atnp
难除	atpv
难解	atrd
难事	atto
难保	atto
难倒	attt
难分	atvd
难逃	atvw
难当	atwe
难缠	atwj
难学	atwn
难友	atxa
难有	atxd
对比度	aujh
鸡零狗碎	auxc
难分难解	avar
难舍难分	avav
难分轩轾	avcc
各个方面	avdj
各个击破	avfc
难道说	aviv
条分缕析	avwm
又红又专	awaf
观赏鱼	awrt
各级政府	awtj
各级领导	awve
双绞线	awwf
各级党委	awwh
对账	axbk
戏码	axcs
对弈	axdm
对齐	axdx
戏弄	axeh
对岸	axej
戏班	axey
对打	axft
对眼	axge
对垒	axgg
戏台	axgo
戏称	axhr
对讲	axif
戏言	axii
对词	axij
对调	axin
对证	axit
戏说	axiv
各有千秋	axjh
对质	axjj
对襟	axjk
各有所长	axjk
戏耍	axjn
对不住	axjt
对症	axjt
对敌	axjx
对奖	axkd
戏装	axkl
对答	axkv
对门	axni
对唱	axob
戏路	axol
对号	axot
对局	axpj
戏院	axpn
对角	axri
对勾	axsg
戏水	axsi
戏法	axsl
对偶	axtb
对侧	axtb
逢凶化吉	axtl
对歌	axto
对华	axtt
对半	axvx
对光	axww
对过	axxd
戏迷	axxz
难登大雅之堂	axyw
戏子	axzi
对子	axzi
对劲	axzi
又惊又喜	ayal
处之	aydz
处世	ayhl
处警	ayhs
鸡犬不留	ayjg
鸡犬升天	ayjt
各大军区	aync
处男	ayqj
处女地	ayrl
处死	aytd
处事	ayto
各奔前程	ayvh
处决	ayvz
鸡飞蛋打	azjf
败退	baek
败兵	bagv
败草	bahb
财务管理	bake
败笔	bakj
败北	bakt
败走	ball
败军	banc
败家	banx
败叶	baox
败阵	bapc
败局	bapj
败絮	baro
败仗	batx
败露	bauo
败绩	bawl
败兴	bawv
败给	bawv
败火	baxi
曝晒	bbbc
昌明	bbbd
电影票	bbcf
罂粟	bbcx
里里外外	bbdd
时时刻刻	bbdd
星星之火，可以燎原	bbdj
昆明市	bbdn
晶亮	bbdo
赐予	bbdt
星星之火	bbdx
愚昧无知	bbfl
明明白白	bbgg
是是非非	bbnn
昌隆	bbpa
赐给	bbwv
晶粒	bbxd
星星点点	bbyy
赐教	bbyz
昂昂	bcbc
昂然	bcdy
晒干	bcfi
昂扬	bcfz
电磁场	bclz
明码标价	bcmt
晒图	bcqa
电磁波	bcsj
昂首	bcvj
电磁炉	bcxd
昂奋	bcyq
明处	bday
晾晒	bdbc
晕头晕脑	bdbd
贼头贼脑	bdbd
贼眉贼眼	bdbg
日月星辰	bdbj
晕头转向	bdcj
暗码	bdcs
暗礁	bdct
明矾	bdcw
照章	bddb
日新月异	bdde
影帝	bddn
照亮	bddo
暗房	bddp
赔率	bddw
明辨	bddx
明文	bddx
昭然	bddy
明理	bdeb
照理	bdeb
影印	bdep
照护	bdfd
明示	bdfm
暗探	bdfn
照排	bdfn
明文规定	bdfn
明艳	bdfr
暗亏	bdfs
照拂	bdfz
贼眉鼠眼	bdgg
明眸	bdgg
暗藏	bdhk
暗花	bdht
贝多芬	bdhv
昭著	bdhy
照旧	bdib
题外话	bdij
明说	bdiv
照说	bdiv
暗语	bdiw
暗自	bdjg
影后	bdjj
照面	bdjq
照章办事	bdjt
照办	bdjv
电脑爱好者	bdjy
赔礼	bdjy
暗笑	bdkj
照管	bdkn
暗箭	bdkv
暗地里	bdlb
暗地	bdlc
晓之以理	bdle
影坛	bdlf
赔款	bdlf
时刻表	bdlk
暗喜	bdlo
明志	bdlu
晓之以理，动之以情	bdly
暗想	bdmg
赔本	bdmt
盟军	bdnc
