控	:ks
𨅬	:lj
冮	:gh
鲙	:ky
蹚	:th
铏	:xy
鄠	:hu
畤	:vi
畤	:ui
畤	:ib
皦	:jc
亶	:dj
杻	:nq
杻	:ib
澥	:xx
堉	:yu
彳	:ii
瑢	:rs
捽	:zo
皞	:hk
崑	:kp
邽	:gv
垚	:yk
帨	:uv
詟	:ve
楙	:mk
惛	:mf
惛	:hp
觿	:xi
蹐	:ji
祼	:gr
毐	:ai
龢	:he
柷	:vu
柷	:iu
勍	:qy
傒	:xi
浡	:bo
扆	:yi
絜	:xx
絜	:jx
晫	:vo
訄	:qq
靺	:mo
壸	:kp
斝	:jw
滘	:jc
靿	:yk
尪	:wh
翛	:xc
簰	:pl
饳	:do
馉	:gu
偰	:xx
葖	:tu
敔	:yu
昉	:fh
婞	:xy
鲊	:va
缞	:uy
缞	:sv
缞	:cv
旐	:vk
曈	:ts
镠	:lq
翙	:hv
忳	:vp
忳	:tp
忳	:dp
嚭	:pi
拃	:va
亹	:wz
亹	:mf
牂	:zh
畬	:yu
畬	:ue
湲	:yr
甡	:uf
烔	:ts
烔	:ds
儦	:bc
霅	:va
氾	:fj
葎	:lv
晱	:uj
诐	:bi
摛	:ii
偓	:wo
钘	:xy
珹	:ig
璪	:zk
鲬	:ys
罍	:lz
	:vr
	:cj
	:lb
	:gh
	:ss
	:ky
	:vb
	:hj
	:vb
	:yj
	:pi
	:ti
	:ju
	:jy
	:lx
	:jc
	:ui
	:tg
	:ip
	:yn
	:vo
	:po
	:yn
	:xi
	:xn
	:qs
龂	:yn
龂	:kf
齉	:nh
齇	:va
鼱	:jy
鼫	:ui
鼩	:qu
鼒	:zi
黇	:tm
麹	:qu
麖	:jy
麑	:ni
麀	:yb
鹴	:ud
鹲	:mg
鹯	:vj
鹢	:yi
鹡	:ji
鹟	:wg
鹝	:yi
鹖	:he
鹔	:su
鹐	:qm
鹀	:wu
鸤	:ui
鳤	:qr
鳡	:gj
鳠	:hu
鳛	:xi
鳚	:wz
鳒	:jm
鳑	:ph
鳉	:jd
鳈	:qr
鳂	:wz
鳁	:wf
鳀	:ti
鲾	:bi
鲹	:uf
鲪	:jp
鲘	:hb
鲖	:ts
鲏	:pi
鲌	:bo
鲌	:ba
鲉	:yb
鲃	:ba
鲀	:tp
鱾	:ji
鱽	:dk
魋	:tv
魆	:xu
鬷	:zs
鬶	:gv
鬘	:mj
鬒	:vf
髽	:vw
髢	:di
骦	:ud
骙	:kv
骕	:su
骎	:qn
骍	:xy
骃	:yn
馧	:yp
馧	:wo
馞	:bo
馝	:bi
馌	:ye
饻	:xi
飗	:lq
飔	:si
飐	:vj
颙	:ys
颎	:js
颋	:ty
韨	:fu
韂	:ij
鞮	:di
鞨	:he
鞧	:qq
鞡	:la
鞁	:bz
靽	:bj
靸	:sa
靰	:wu
靬	:jm
霨	:wz
雱	:ph
雊	:gb
隺	:hu
隺	:he
隩	:yu
隩	:ao
隃	:yu
隃	:yk
隃	:uu
陞	:ug
陑	:er
陎	:uu
阘	:ta
阇	:ue
闿	:kl
镵	:ij
镴	:la
镚	:bg
镈	:bo
镃	:zi
锳	:yy
锧	:vi
铻	:wu
鋆	:yp
鋆	:jp
釐	:xi
醾	:mi
醨	:li
酺	:pu
酦	:po
酅	:xi
酂	:zj
酂	:co
鄫	:zg
鄜	:fu
鄚	:mk
鄘	:ys
鄗	:hk
鄑	:zi
鄌	:th
鄅	:yu
鄃	:uu
鄀	:ro
郪	:qi
郤	:xi
郚	:wu
郈	:hb
邿	:ui
邲	:bi
邘	:yu
遹	:yu
遆	:ti
遆	:di
逴	:io
辿	:ij
辒	:wf
辌	:ld
辀	:vb
轪	:dl
蹾	:dp
蹽	:lc
蹢	:di
蹜	:su
蹅	:ia
踶	:di
踒	:wo
跱	:vi
跐	:ci
趯	:yt
趯	:ti
赪	:ig
赗	:fg
貆	:hr
豮	:ff
豨	:xi
谿	:xi
谼	:hs
诇	:xs
讻	:xs
讱	:rf
觱	:bi
觱	:bi
觟	:xx
觟	:hw
觃	:yj
襫	:ui
襜	:ij
襚	:sv
襕	:lj
褯	:jx
褟	:ta
褕	:yu
裛	:yi
裈	:kp
袯	:bo
袗	:vf
袆	:hv
衠	:vp
衎	:kj
衃	:pz
蠋	:vu
蟫	:yn
蟫	:xp
蟏	:xc
螱	:wz
螣	:tg
螠	:yi
蝲	:la
蝘	:yj
蜐	:jx
蜎	:yr
蛃	:by
蚲	:py
蚆	:ba
蚄	:fh
蚄	:bh
虸	:zi
虷	:hj
虤	:yj
虓	:xc
虒	:si
蘘	:rh
藨	:pk
藨	:bc
藦	:mo
藠	:jc
藟	:lz
薿	:ni
薸	:pc
薳	:yr
薳	:wz
薁	:yu
蕰	:yp
蕗	:lu
蔊	:hj
蔈	:bc
蔃	:qd
蔀	:bu
蓢	:lh
蓏	:lo
蓇	:gu
蓂	:my
蒻	:ro
蒱	:pu
蒨	:qm
蒟	:ju
蒄	:gr
葴	:vf
葰	:jp
萹	:bm
萳	:nj
萣	:dy
萚	:to
菼	:tj
菍	:rf
菍	:nx
菉	:lu
菂	:di
莿	:ci
莝	:co
荖	:lk
荓	:py
荄	:gl
荁	:hr
茽	:vs
茝	:il
茝	:il
茋	:vi
苧	:vu
苧	:ny
苉	:pi
芼	:mk
芠	:wf
艎	:hd
艅	:yu
舲	:ly
舥	:pa
舠	:dk
腯	:tu
腨	:ur
腘	:go
腒	:ju
脿	:bc
脟	:lx
胣	:ii
胠	:qu
胈	:ba
肸	:xi
耰	:yb
耤	:jx
耤	:ji
耑	:dr
耏	:nl
耏	:er
耇	:gb
翾	:xr
翷	:ln
翯	:he
翈	:xw
翂	:ff
翀	:is
羱	:yr
羖	:gu
羕	:yh
羓	:ba
羑	:yb
罽	:ji
罶	:lq
缐	:xm
绤	:xi
纼	:vf
繄	:yi
縢	:tg
縠	:hu
糵	:nx
糒	:bz
粿	:go
籥	:yt
簠	:fu
簝	:lc
簕	:le
簉	:zk
簃	:yi
篯	:jm
箖	:ln
筼	:yp
筶	:gk
筦	:gr
筥	:ju
筤	:lh
筜	:dh
筀	:gv
笯	:nu
竫	:jy
竘	:qu
竘	:kb
窎	:dc
窊	:wa
窅	:yk
穟	:sv
穜	:vs
穜	:ts
穙	:pu
穄	:ji
稙	:vi
稑	:lu
稌	:uu
稌	:tu
秬	:ju
禤	:xr
禛	:vf
禔	:vi
禔	:ti
禒	:xm
禋	:yn
祾	:ly
祲	:kp
祲	:jn
祕	:mi
祕	:bi
祏	:ui
祋	:dv
祇	:qi
磹	:dm
磜	:qi
磏	:qm
磏	:lm
碶	:qi
碨	:wz
碏	:xi
碏	:qt
碈	:mn
碃	:qy
硿	:ks
硙	:wz
硔	:hs
硍	:yn
硍	:xm
硍	:kf
硍	:gp
硊	:wz
硊	:gv
硁	:kg
砮	:nu
砫	:vu
砠	:ju
砄	:jt
砄	:jt
矼	:qd
矼	:ks
矼	:gh
矰	:zg
