阿爸	ooba
嗷嗷待哺	aadb
阿哥	oage
啊哈	oaha
安安静静	aajj
阿拉	oala
阿妈	oama
阿门	oamf
阿曼	oamj
阿妹	oamw
阿婆	oapo
安安稳稳	aaww
阿姨	oay
啊呀	oaya
阿姨	oayi
啊哟	oayo
按兵不动	abbd
哀兵必胜	abbu
安邦定国	abdg
阿鼻地狱	abdy
矮半截	abj
按部就班	abjb
爱别离苦	ablk
鞍不离马	ablm
爱不释手	abuu
挨板子	abz
爱才若渴	acrk
爱财如命	acrm
暗渡陈仓	adic
澳大利亚	adly
暗淡无光	adwg
安度晚年	adwn
阿尔及尔	aeje
爱尔兰	ael
阿富汗	afh
安分守己	afuj
安哥拉	agl
阿根廷	agt
熬更守夜	aguy
爱国者	agv
爱国主义	agvy
哀鸿遍野	ahby
昂贵	ohgv
昂起	ohq
爱恨情仇	ahqi
盎然	ohrj
盎司	ohsi
昂首	ohxz
爱好者	ahv
昂扬	ohyh
肮脏	ohz
肮脏	ohzh
皑皑	odod
癌变	odbm
爱才	odcd
挨打	odd
挨打	odda
哀悼	oddc
爱戴	oddd
爱得	odde
爱党	oddh
爱读	oddu
挨饿	odoe
挨罚	odfa
爱抚	odfu
爱妃	odfw
爱国	odg
哀告	odgc
挨个	odge
爱岗	odgh
爱国	odgo
爱给	odgw
爱好	odh
爱好	odhc
爱河	odhe
爱恨	odhf
爱火	odho
哀鸿	odhs
爱护	odhu
哀愁	odq
爱巢	odqc
爱称	odqg
爱唱	odqh
爱吃	odoq
哀愁	odqz
挨近	odjb
埃及	odji
爱将	odjl
挨肩	odjm
哀叫	odjn
挨家	odjx
哀恳	odkf
爱看	odkj
爱哭	odku
隘口	odkz
爱恋	odl
挨了	odle
爱郎	odlh
爱恋	odlm
爱侣	odlv
挨骂	odma
挨门	odmf
哀鸣	odmk
爱慕	odmu
暧昧	odmw
爱你	odni
爱女	odnv
矮胖	odph
爱情	odq
爱妻	odqi
爱情	odqk
矮墙	odql
爱钱	odqm
哀切	odqp
哀求	odqq
爱犬	odqr
爱人	odr
爱人	odrf
哀思	odsi
爱他	odta
哀啼	odti
哀叹	odtj
爱听	odtk
哀痛	odts
爱徒	odtu
爱神	odxf
爱上	odxh
碍事	odox
碍手	odxz
挨着	odj
爱着	odje
癌症	odjg
爱之	odov
爱玩	odwj
爱我	odwo
爱心	odx
爱心	odxb
爱惜	odxi
矮小	odxn
暗潮汹涌	aixy
哎呀	odya
爱意	odyi
碍眼	odyj
哎哟	odyo
哀怨	odyr
爱用	odys
哀乐	odyt
碍于	odyu
艾滋	odz
哀哉	odzd
爱憎	odzg
艾滋	odzi
挨揍	odzz
挨家挨户	ajah
挨肩擦背	ajcb
安家落户	ajlh
安居乐业	ajly
阿基米德	ajmd
暗箭难防	ajnf
氨基酸	ajs
暗箭伤人	ajur
阿拉伯	alb
安理会	alh
奥林匹克	alpk
阿联酋	alq
按劳取酬	alqi
安乐死	als
按理说	alu
安乐窝	alw
哀莫大于心死	amds
鞍马劳顿	amld
爱莫能助	amnv
爱民如子	amrz
爱美之心	amvx
奥妙无穷	amwq
安眠药	amy
爱面子	amz
暗暗	ojoj
暗堡	ojbc
安邦	ojbh
案板	ojbj
岸边	ojbm
按捺不住	anbv
暗藏	ojch
按此	ojci
暗道	ojdc
俺的	ojde
暗地	ojdi
暗淡	ojdj
安定	ojdk
安度	ojdu
安顿	ojdy
案发	ojfa
安分	ojff
暗讽	ojfg
安放	ojfh
案犯	ojfj
安抚	ojfu
暗格	ojge
鞍钢	ojgh
暗鬼	ojgv
暗沟	ojgz
暗号	ojhc
暗害	ojhd
暗合	ojhe
暗含	ojhj
暗黄	ojhl
黯然	ojhr
