娿	aanv
愛	aiwf
鞌	ange
案	anmu
嶏	anpw
赘	aobw
聱	aoer
兕	aoer
熬	aoho
螯	aois
鏊	aojb
嗸	aokz
呑	aokz
骜	aoma
嫯	aonv
獒	aoqr
熬	aosi
摮	aouz
嶅	aouj
岙	aouj
嶴	aouj
謷	aoyj
鳌	aoyu
弚	badn
兯	badj
分	badc
父	badm
兯	baer
尣	baer
敓	bafj
罴	baho
巼	baii
釡	bajb
谷	bakz
兮	bakc
并	bakd
盋	bamb
夔	banc
弟	bapp
兮	baqn
公	basi
罴	basi
兰	basj
关	batm
岊	bauj
尦	bauc
弚	bauu
弟	bave
夔	bawf
尩	bawh
兑	baxs
並	baya
酋	bayz
父	bayi
髱	bnbc
鬓	bnbb
鬂	bnbk
鬙	bncg
髭	bnci
鬗	bncc
鬀	bndi
鬎	bndc
鬗	bndm
鬌	bner
髵	bner
髶	bner
飙	bnfg
髼	bnfg
鬔	bnfg
髴	bnfu
髸	bngs
髥	bnhg
鬍	bnhu
鬊	bniy
髻	bnji
髠	bnji
鬑	bnjm
鬜	bnjm
鬈	bnjr
鬎	bnla
鬁	bnli
鬣	bnlp
鬘	bnmj
鬌	bnmc
髦	bnmc
髳	bnmc
髩	bnmm
鬕	bnmo
髤	bnmu
鬅	bnpg
髲	bnpi
髬	bnpi
鬐	bnqi
鬋	bnqm
鬏	bnqq
鬟	bnqs
髷	bnqu
鬐	bnri
髥	bnrj
髯	bnrj
鬆	bnss
髿	bnua
髺	bnue
髰	bnui
鬛	bnuu
髩	bnve
髧	bnve
鬣	bnve
鬒	bnvf
鬇	bnvg
髫	bnvc
鬉	bnwf
髡	bnwu
髾	bnxn
鬤	bnxl
髹	bnxq
鬉	bnxs
髪	bnyz
髢	bnye
鬟	bnyi
鬄	bnyi
髧	bnyb
髨	bnyr
鬜	bnyt
髽	bnzo
鬃	bnzs
翉	bfyu
剻	bgdc
剻	bgli
幚	bhbo
帮	bhjb
鄨	biba
比	bibi
毖	bibi
皆	bibd
齇	bico
劓	bidc
匘	bidm
鄙	bier
邲	bier
鼾	bigj
齃	bihe
齄	biia
齅	biiz
蟞	biis
鐅	bijb
鼽	bijq
鼼	bijq
齁	biju
勓	bili
齂	bili
劓	bili
粊	bimi
毞	bimc
枈	bimu
瞥	bimu
鸨	binn
齉	binh
弊	bins
嫳	binv
疑	bipi
欵	biqm
獘	biqr
齇	biqp
暼	biri
旨	biri
毙	bisi
坒	bitu
撆	biuz
毕	biui
疑	biuu
齃	bive
齀	biwa
鼿	biwu
憋	bixb
匘	bixb
颎	biye
顷	biye
颍	biye
颕	biye
颖	biye
鄨	biyi
齆	biyi
齆	biys
鳖	biyu
肄	biyu
蹩	bizu
判	bjdc
叛	bjfj
鞶	bjge
螌	bjis
幋	bjjb
鎜	bjjb
鋬	bjjb
判	bjli
縏	bjmi
媻	bjnv
搫	bjuz
磐	bjui
縏	bjxi
褩	bjyi
宎	bcao
穴	bcba
匂	bcbi
宓	bcbi
它	bcbi
宿	bcbd
宾	bcbk
寎	bcbk
寀	bccd
守	bccy
匒	bcda
寏	bcda
宣	bcdj
刨	bcdc
宲	bcdd
定	bcdm
匎	bcdm
家	bcdm
寁	bcdm
宁	bcdk
寚	bcfz
匐	bcfu
富	bcfu
匍	bcfu
客	bcge
匑	bcgs
匔	bcgs
宆	bcgs
容	bcgu
寙	bcgx
匌	bche
官	bchg
宼	bchg
宐	bchg
煲	bcho
灳	bcho
灾	bcho
宖	bchs
寭	bchv
宸	bcif
宦	bcif
宬	bcig
実	bciy
宂	bcji
宽	bcjm
寖	bcjb
宭	bcjy
宄	bcjq
勼	bcjq
宑	bcjk
害	bckz
句	bckz
匀	bcll
刨	bcli
宍	bclq
宠	bcls
宫	bclv
匔	bclv
匊	bcmi
宷	bcmi
宩	bcmi
宒	bcmc
寍	bcmb
寞	bcmo
梥	bcmu
宋	bcmu
寱	bcmu
牢	bcnq
安	bcnv
宴	bcnv
匉	bcpk
寄	bcqi
寑	bcqb
宊	bcqr
宜	bcqp
寈	bcqk
勽	bcrf
旬	bcri
包	bcsi
勾	bcsi
宏	bcsi
寥	bcsj
实	bctz
甸	bctm
宅	bcto
堡	bctu
寃	bctu
审	bcuf
察	bcui
宕	bcui
寔	bcui
宗	bcui
寂	bcuu
匓	bcuu
匀	bcuv
匃	bcve
宺	bcve
寯	bcve
宛	bcve
室	bcvi
宨	bcvc
宔	bcvu
寉	bcvv
匃	bcwh
匄	bcwh
寤	bcwu
寐	bcww
寮	bcxn
宯	bcxn
宵	bcxn
匇	bcxi
宪	bcxm
窓	bcxb
宰	bcxb
匈	bcxs
寝	bcyz
宥	bcyz
宙	bcyz
藵	bcyi
寰	bcyi
匁	bcyi
褜	bcyi
宧	bcyi
寲	bcyi
匎	bcyj
訇	bcyj
寣	bcyj
謈	bcyj
完	bcyr
甯	bcys
宝	bcyu
宇	bcyu
寓	bcyu
字	bczi
宱	bczo
皅	bdba
皫	bdbn
皋	bdbf
皞	bdbf
皀	bdbi
皕	bdbd
皛	bdbd
皏	bdbk
皉	bdci
皠	bdcv
卽	bddj
皍	bddj
曁	bddj
皐	bddm
皍	bder
皃	bder
皈	bdfj
敫	bdfj
皤	bdfj
敀	bdfj
皓	bdgc
皜	bdgc
皞	bdgc
皡	bdgc
皥	bdgc
魄	bdgv
皔	bdhj
皬	bdho
皫	bdho
皎	bdjn
皦	bdjn
旣	bdji
帛	bdjb
皭	bdjt
劰	bdli
皊	bdlk
皌	bdmo
槩	bdmu
皑	bdqi
皂	bdqi
皘	bdqk
畠	bdtm
墍	bdtu
皨	bdtu
皡	bdui
皥	bdui
的	bduc
皐	bduu
泉	bduv
皗	bdvz
癿	bdve
敫	bdwf
皦	bdwf
敀	bdwf
皇	bdwh
皖	bdwj
皒	bdwo
譥	bdyj
翱	bdyu
翶	bdyu
翺	bdyu
釈	bmie
番	bmtm
释	bmve
甂	bmwa
辬	bmxb
辡	bmxb
辧	bmxb
辨	bmxb
辩	bmxb
辫	bmxb
悉	bmxb
釉	bmyz
翩	bmyu
赟	bbbw
燹	bbho
錃	bojb
婆	bonv
碆	boui
緜	boxi
愂	boxb
奀	buda
丕	buhg
孬	buhc
鳪	buho
否	bukz
盀	bumb
鳪	bunn
歪	buvg
频	buye
嫑	buyc
甭	buys
疤	bkba
疕	bkbi
疪	bkbi
痹	bkbi
瘢	bkbj
癍	bkbj
疱	bkbc
病	bkbk
癛	bkbk
癝	bkbk
疮	bkch
疵	bkci
瘆	bkcj
疛	bkcy
疭	bkcs
瘁	bkcu
瘩	bkda
瘝	bkda
痘	bkdz
疷	bkdi
瘅	bkdj
疸	bkdj
疖	bkdj
瘌	bkdc
痷	bkdm
癫	bkdm
癜	bkdm
瘝	bkdm
痶	bkdm
瘃	bkdm
痑	bkdo
疼	bkds
痥	bkdv
疔	bkdk
邴	bker
疖	bker
郱	bker
疺	bkfa
癈	bkfa
痞	bkfz
疯	bkfg
癁	bkfu
痡	bkfu
痱	bkfw
痕	bkgf
疳	bkgj
痯	bkgr
疘	bkgs
瘗	bkgs
痼	bkgu
瘣	bkgv
瘊	bkhz
癀	bkhl
癛	bkhe
疟	bkhg
瘱	bkhg
痎	bkhd
疢	bkho
癨	bkho
痻	bkhy
痪	bkhr
痐	bkhv
瘥	bkia
剙	bkil
瘷	bkii
瘙	bkis
痋	bkis
瘇	bkis
瘃	bkiu
癄	bkjn
瘠	bkji
痵	bkji
瘵	bkji
瘽	bkjb
疚	bkjq
瘚	bkjt
疦	bkjt
疽	bkju
痀	bkju
俎	bkju
瘛	bkjx
痂	bkjx
瘕	bkjx
疥	bkjp
痉	bkjk
疴	bkke
瘔	bkku
疞	bkkv
瘌	bkla
瘘	bklz
疗	bkle
疬	bkli
痢	bkli
痨	bklc
癞	bkld
痳	bklb
瘪	bkly
瘳	bklq
瘤	bklq
癅	bklq
癃	bkls
痝	bkls
癗	bklw
瘰	bklw
癦	bkmo
瘼	bkmo
睂	bkmu
痗	bkmw
痆	bkni
瘫	bknj
疓	bknd
痹	bkns
瘘	bknv
瘭	bkpn
痭	bkpg
疲	bkpi
癖	bkpi
疡	bkpp
疙	bkqi
瘈	bkqi
瘚	bkqm
瘶	bkqm
痊	bkqr
癏	bkqs
癯	bkqu
疽	bkqp
瘸	bkrz
剏	bkrf
疹	bkrf
普	bkri
暜	bkri
痩	bksz
瘦	bksz
瘶	bksz
艵	bkse
痔	bksi
瘳	bksj
疹	bksj
癅	bktm
痌	bkts
痜	bktu
瘗	bktu
痧	bkua
瘎	bkuf
疩	bkui
疾	bkui
癝	bkui
疧	bkui
疶	bkui
瘵	bkui
癌	bkuj
疝	bkuj
癙	bkuu
疫	bkuu
痄	bkva
瘏	bkve
疡	bkve
瘨	bkvf
症	bkvg
瘴	bkvh
痴	bkvi
痓	bkvi
痸	bkvi
疻	bkvi
痣	bkvi
癚	bkvj
痁	bkvj
疰	bkvu
痽	bkvv
癯	bkvv
瓶	bkwa
甁	bkwa
瘷	bkwf
瘟	bkwf
疠	bkwj
痦	bkwu
癓	bkww
痿	bkww
痚	bkxn
痟	bkxn
瘄	bkxi
瘜	bkxi
痫	bkxm
癣	bkxm
瘛	bkxb
瘱	bkxb
痃	bkxr
瘕	bkxx
疜	bkxx
疨	bkya
痖	bkya
痏	bkyz
疣	bkyz
痒	bkyh
癏	bkyi
痍	bkyi
痬	bkyi
癔	bkyi
癌	bkyj
痷	bkyj
痰	bkyj
瘖	bkyb
瘾	bkyb
痛	bkys
痈	bkys
癕	bkys
瘠	bkyt
瘀	bkyu
瘐	bkyu
瘿	bkyk
瘙	bkzc
痤	bkzo
瘯	bkzu
疩	bkzu
瘁	bkzu
赑	bwbw
赠	bwcg
财	bwcd
財	bwcd
则	bwdc
邶	bwer
背	bwer
鄁	bwer
郣	bwer
郫	bwer
贬	bwfa
罂	bwfz
败	bwfj
贩	bwfj
赙	bwfu
购	bwgz
赂	bwge
贮	bwgd
丠	bwhg
贮	bwhg
赅	bwhd
