啊	a#序60000
阿	aa#序59999
昂	ah#序59998
爱	ai#序59997
艾	aic#序59996
挨	aif#序59995
唉	aik#序59994
哎	aikx#序59993
埃	ait#序59992
矮	aiu#序59991
碍	aiuc#序59990
哀	aiw#序59989
安	an#序59988
案	anb#序59987
岸	ane#序59986
按	anf#序59985
暗	ano#序59984
奥	ao#序59983
傲	aor#序59982
不	b#序59981
把	ba#序59980
爸	baf#序59979
拔	bafd#序59978
吧	bak#序59977
八	bap#序59976
罢	bas#序59975
巴	bav#序59974
霸	bay#序59973
宾	bb#序59972
报	bc#序59971
宝	bcb#序59970
薄	bcc#序59969
抱	bcf#序59968
包	bcg#序59967
爆	bch#序59966
炮	bchv#序59965
暴	bco#序59964
保	bcr#序59963
堡	bct#序59962
饱	bcu#序59961
豹	bcv#序59960
白	bd#序59959
百	bda#序59958
摆	bdf#序59957
伯	bdr#序59956
拜	bdu#序59955
败	bdw#序59954
本	bf#序59953
奔	bfd#序59952
笨	bfv#序59951
帮	bh#序59950
邦	bhe#序59949
膀	bho#序59948
彭	bhu#序59947
比	bi#序59946
必	bid#序59945
秘	bih#序59944
闭	bim#序59943
臂	bio#序59942
鼻	bip#序59941
币	bipj#序59940
彼	bir#序59939
壁	bit#序59938
毕	biu#序59937
碧	biuw#序59936
笔	biv#序59935
避	biz#序59934
逼	biza#序59933
半	bj#序59932
班	bjd#序59931
扮	bjf#序59930
搬	bjfy#序59929
办	bjl#序59928
板	bjm#序59927
版	bjp#序59926
伴	bjr#序59925
般	bjv#序59924
并	bk#序59923
病	bkb#序59922
冰	bkd#序59921
柄	bkm#序59920
兵	bkp#序59919
便	bm#序59918
鞭	bmg#序59917
编	bms#序59916
变	bmw#序59915
边	bmz#序59914
遍	bmzh#序59913
表	bn#序59912
标	bnm#序59911
波	bo#序59910
薄	boc#序59909
拨	bof#序59908
播	boft#序59907
脖	boo#序59906
伯	bor#序59905
博	bou#序59904
勃	boul#序59903
别	bp#序59902
部	bu#序59901
捕	buf#序59900
补	bup#序59899
布	buu#序59898
步	buv#序59897
怖	bux#序59896
被	bw#序59895
北	bwa#序59894
辈	bwi#序59893
贝	bwk#序59892
杯	bwm#序59891
背	bwo#序59890
臂	bwou#序59889
卑	bwp#序59888
倍	bwr#序59887
勃	bwu#序59886
备	bww#序59885
悲	bwx#序59884
才	c#序59883
擦	ca#序59882
草	cc#序59881
曹	cca#序59880
操	ccf#序59879
采	cd#序59878
财	cdb#序59877
菜	cdc#序59876
材	cdm#序59875
猜	cdq#序59874
彩	cdv#序59873
裁	cdy#序59872
策	ce#序59871
测	ced#序59870
侧	cer#序59869
曾	cg#序59868
层	cgu#序59867
藏	ch#序59866
苍	chc#序59865
此	ci#序59864
赐	cib#序59863
次	cid#序59862
刺	cida#序59861
辞	cip#序59860
慈	cix#序59859
差	ciy#序59858
词	ciyk#序59857
参	cj#序59856
残	cjd#序59855
餐	cju#序59854
惨	cjx#序59853
错	co#序59852
措	cof#序59851
窜	cr#序59850
从	cs#序59849
丛	csa#序59848
聪	cse#序59847
匆	csg#序59846
粗	cu#序59845
促	cur#序59844
脆	cv#序59843
崔	cve#序59842
催	cvr#序59841
翠	cvy#序59840
存	cy#序59839
寸	cya#序59838
村	cym#序59837
凑	cz#序59836
的	d#序59835
大	da#序59834
打	daf#序59833
搭	dafk#序59832
答	dav#序59831
达	daz#序59830
道	dc#序59829
到	dcd#序59828
刀	dcg#序59827
盗	dcm#序59826
岛	dcn#序59825
倒	dcr#序59824
导	dcv#序59823
大	dd#序59822
带	ddf#序59821
呆	ddk#序59820
代	ddr#序59819
待	ddrc#序59818
戴	ddt#序59817
袋	ddy#序59816
地	de#序59815
得	der#序59814
德	derx#序59813
等	dg#序59812
登	dgd#序59811
邓	dge#序59810
灯	dgh#序59809
瞪	dgo#序59808
当	dh#序59807
荡	dhc#序59806
挡	dhf#序59805
党	dhx#序59804
地	di#序59803
弟	dib#序59802
蒂	dic#序59801
滴	did#序59800
提	dif#序59799
抵	difd#序59798
底	dig#序59797
帝	dil#序59796
低	dir#序59795
第	div#序59794
敌	diw#序59793
迪	diz#序59792
递	dizb#序59791
但	dj#序59790
石	dja#序59789
单	djb#序59788
淡	djd#序59787
担	djf#序59786
弹	djg#序59785
胆	djo#序59784
旦	djoa#序59783
丹	djp#序59782
蛋	djv#序59781
定	dk#序59780
丁	dka#序59779
顶	dkd#序59778
盯	dko#序59777
订	dky#序59776
点	dm#序59775
电	dma#序59774
典	dmab#序59773
店	dmg#序59772
殿	dmu#序59771
调	dn#序59770
掉	dnf#序59769
鸟	dnn#序59768
雕	dnp#序59767
多	do#序59766
夺	dod#序59765
度	dog#序59764
朵	doj#序59763
躲	dou#序59762
爹	dp#序59761
蝶	dpi#序59760
跌	dpz#序59759
丢	dq#序59758
断	dr#序59757
端	drl#序59756
段	drp#序59755
短	dru#序59754
动	ds#序59753
东	dsa#序59752
董	dsc#序59751
洞	dsd#序59750
冬	dsw#序59749
懂	dsx#序59748
都	du#序59747
赌	dub#序59746
渡	dud#序59745
毒	duf#序59744
度	dug#序59743
杜	dum#序59742
督	duo#序59741
肚	duot#序59740
独	duq#序59739
读	duy#序59738
对	dv#序59737
队	dve#序59736
堆	dvt#序59735
得	dw#序59734
顿	dy#序59733
盾	dyp#序59732
都	dz#序59731
斗	dzd#序59730
抖	dzf#序59729
