阿	$ddcmd(阿,阿[aa])	aaek#序5000
啊	$ddcmd(啊,啊[a])	aakk#序4999
醃	$ddcmd(醃,醃[aay])	aayv#序4998
盎	$ddcmd(盎,盎[ahm])	ahma#序4997
昂	$ddcmd(昂,昂[ah])	ahoe#序4996
肮	$ddcmd(肮,肮[aho])	ahoj#序4995
癌	$ddcmd(癌,癌[aib])	aibe#序4994
艾	$ddcmd(艾,艾[aic])	aicx#序4993
隘	$ddcmd(隘,隘[aie])	aiem#序4992
挨	$ddcmd(挨,挨[aif])	aifu#序4991
唉	$ddcmd(唉,唉[aik])	aiku#序4990
曖	$ddcmd(曖,曖[aio])	aiow#序4989
埃	$ddcmd(埃,埃[ait])	aitu#序4988
矮	$ddcmd(矮,矮[aiu])	aiun#序4987
愛	$ddcmd(愛,愛[aiv])	aivw#序4986
爱	$ddcmd(爱,爱[ai])	aivy#序4985
哀	$ddcmd(哀,哀[aiw])	aiwy#序4984
靄	$ddcmd(靄,靄[aiy])	aiyv#序4983
案	$ddcmd(案,案[anb])	anbm#序4982
安	$ddcmd(安,安[an])	anbn#序4981
菴	$ddcmd(菴,菴[anc])	ancv#序4980
岸	$ddcmd(岸,岸[ane])	aneu#序4979
按	$ddcmd(按,按[anf])	anfn#序4978
鞍	$ddcmd(鞍,鞍[ang])	angn#序4977
銨	$ddcmd(銨,銨[anj])	anjn#序4976
闇	$ddcmd(闇,闇[anm])	anmo#序4975
鵪	$ddcmd(鵪,鵪[ann])	annd#序4974
暗	$ddcmd(暗,暗[ano])	anoo#序4973
氨	$ddcmd(氨,氨[anq])	anqn#序4972
俺	$ddcmd(俺,俺[anr])	anrv#序4971
諳	$ddcmd(諳,諳[any])	anyo#序4970
凹	$ddcmd(凹,凹[aoa])	aoaa#序4969
翱	$ddcmd(翱,翱[aob])	aoby#序4968
澳	$ddcmd(澳,澳[aod])	aodd#序4967
拗	$ddcmd(拗,拗[aof])	aofl#序4966
熬	$ddcmd(熬,熬[aoh])	aohf#序4965
媼	$ddcmd(媼,媼[aon])	aonm#序4964
奥	$ddcmd(奥,奥[ao])	aopd#序4963
袄	$ddcmd(袄,袄[aop])	aopd#序4962
傲	$ddcmd(傲,傲[aor])	aorw#序4961
敖	$ddcmd(敖,敖[aow])	aowf#序4960
懊	$ddcmd(懊,懊[aox])	aoxd#序4959
疤	$ddcmd(疤,疤[bab])	babv#序4958
芭	$ddcmd(芭,芭[bac])	bacv#序4957
把	$ddcmd(把,把[ba])	bafv#序4956
爸	$ddcmd(爸,爸[baf])	bafv#序4955
靶	$ddcmd(靶,靶[bag])	bagv#序4954
吧	$ddcmd(吧,吧[bak])	bakv#序4953
耙	$ddcmd(耙,耙[bal])	balv#序4952
八	$ddcmd(八,八[bap])	bapn#序4951
罢	$ddcmd(罢,罢[bas])	bass#序4950
坝	$ddcmd(坝,坝[bat])	batb#序4949
巴	$ddcmd(巴,巴[bav])	bavv#序4948
覇	$ddcmd(覇,覇[bax])	baxo#序4947
霸	$ddcmd(霸,霸[bay])	bayo#序4946
跋	$ddcmd(跋,跋[baz])	bazd#序4945
鬢	$ddcmd(鬢,鬢[bba])	bbab#序4944
宾	$ddcmd(宾,宾[bb])	bbbb#序4943
賓	$ddcmd(賓,賓[bbb])	bbbb#序4942
滨	$ddcmd(滨,滨[bbd])	bbdb#序4941
摈	$ddcmd(摈,摈[bbf])	bbfb#序4940
彬	$ddcmd(彬,彬[bbm])	bbmp#序4939
臏	$ddcmd(臏,臏[bbo])	bbob#序4938
儐	$ddcmd(儐,儐[bbr])	bbrb#序4937
繽	$ddcmd(繽,繽[bbs])	bbsb#序4936
斌	$ddcmd(斌,斌[bbw])	bbwd#序4935
鲍	$ddcmd(鲍,鲍[bca])	bcav#序4934
宝	$ddcmd(宝,宝[bcb])	bcbw#序4933
薄	$ddcmd(薄,薄[bcc])	bccc#序4932
剥	$ddcmd(剥,剥[bcd])	bcde#序4931
抱	$ddcmd(抱,抱[bcf])	bcfv#序4930
报	$ddcmd(报,报[bc])	bcfy#序4929
包	$ddcmd(包,包[bcg])	bcgv#序4928
爆	$ddcmd(爆,爆[bch])	bchd#序4927
鉋	$ddcmd(鉋,鉋[bcj])	bcjv#序4926
暴	$ddcmd(暴,暴[bco])	bcod#序4925
保	$ddcmd(保,保[bcr])	bcrm#序4924
堡	$ddcmd(堡,堡[bct])	bctr#序4923
饱	$ddcmd(饱,饱[bcu])	bcuv#序4922
豹	$ddcmd(豹,豹[bcv])	bcvv#序4921
褒	$ddcmd(褒,褒[bcw])	bcwy#序4920
雹	$ddcmd(雹,雹[bcy])	bcyv#序4919
百	$ddcmd(百,百[bda])	bdab#序4918
摆	$ddcmd(摆,摆[bdf])	bdfs#序4917
稗	$ddcmd(稗,稗[bdh])	bdhu#序4916
唄	$ddcmd(唄,唄[bdk])	bdkb#序4915
柏	$ddcmd(柏,柏[bdm])	bdmb#序4914
白	$ddcmd(白,白[bd])	bdpo#序4913
畠	$ddcmd(畠,畠[bdp])	bdpt#序4912
伯	$ddcmd(伯,伯[bdr])	bdrb#序4911
