# d h u v p
#点横竖折撇

的	puvhhpvd
一	h
是	uvhhhuhpd
不	hpud
了	vu
在	hpuhuh
有	hpuvhh
我	phuhvpd
人	pd
他	puvuv
这	dhpddvd
个	pdu
们	puduv
来	hdphupd
大	hpd
为	dpvd
上	uhh
时	uvhhhud
能	vduvhhpvpv
以	vdpd
和	phupduvh
要	huvuuhvph
说	dvdpuvhpv
就	dhuvhupdhpvd
到	hvdhuhuu
地	huhvuv
可	huvhu
那	vhhpvu
国	uvhhuhdh
会	pdhhvd
也	vuv
中	uvhu
生	phhuh
子	vuh
著	huuhuhpuvhh
出	vuuvu
你	pupvupd
家	ddvhpvpppd
多	pvdpvd
得	ppuuvhhhhud
年	phhuhu
用	pvhhu
么	pvd
学	ddpdvvuh
下	hud
去	huhvd
工	huh
都	huhpuvhhvu
于	hhu
之	dvd
自	puvhhh
对	vdhud
过	huddvd
方	dhvp
作	puphuhh
好	vphvuh
成	hpvvpd
小	upd
样	hupddphhhu
看	phhpuvhhh
分	pdvp
十	hu
天	hhpd
面	hpuvuuhhh
发	vpvdd
然	pvddhpdddddd
同	uvhuvh
从	pdpd
后	pphuvh
动	hhvdvp
种	phupduvhu
所	ppvhpphu
没	ddhpvvd
她	vphvuv
三	hhh
如	vphuvh
两	huvpdpd
又	vd
此	uhuhpv
事	huvhvhhu
道	dphpuvhhhdvd
还	hpuddvd
而	hpuvuu
业	uudph
起	huhuhpdvhv
主	dhhuh
二	hh
行	ppuhhu
现	hhuhuvpv
数	dphupdvphphpd
经	vvhvdhuh
心	dvdd
因	uvhpdh
想	hupduvhhhdvdd
但	puuvhhh
很	ppuvhhvpd
些	uhuhpvhh
点	uhuvhdddd
当	udpvhh
物	phuhpvpp
只	uvhpd
与	hvh
长	phvd
前	dphuvhhuu
水	uvpd
本	hupdh
开	hhpu
民	vhvhv
法	ddhhuhvd
其	huuhhhpd
见	uvpv
进	hhpudvd
定	ddvhuhpd
实	ddvddhpd
日	uvhh
把	huhvuhv
知	phhpduvh
最	uvhhhuuhhhvd
问	duvuvh
等	phdphdhuhhud
体	puhupdh
高	dhuvhuvuvh
已	vhv
各	pvduvh
外	pvdud
里	uvhhuhh
意	dhdphuvhhdvdd
由	uvhuh
头	ddhpd
力	vp
四	uvpvh
无	hhpv
正	huhuh
使	puhuvhpd
气	phhv
做	puhuuvhphpd
部	dhdphuvhvu
理	hhuhuvhhuhh
表	hhuhpvpd
全	pdhhuh
将	dhupvdhud
相	hupduvhhh
重	phuvhhuhh
间	duvuvhh
加	vpuvh
或	huvhhvpd
手	phhu
常	udpdvuvhuvu
情	dduhhuhuvhh
及	pvd
己	vhv
明	uvhhpvhh
应	dhpddph
它	ddvpv
机	hupdpv
产	dhdphp
便	puhuvhhpd
度	dhphuuhvd
回	uvuvhh
位	pudhdph
向	puvuvh
儿	pv
公	pdvd
少	updp
形	hhpuppp
电	uvhhv
老	huhppv
候	puuvhphhpd
果	uvhhhupd
量	uvhhhuvhhuhh
几	pv
第	phdphdvhvup
什	puhu
活	ddhphuuvh
走	huhuhpd
直	huuvhhhh
比	hvpv
化	pupv
身	puvhhhp
义	dpd
先	phuhpv
线	vvhhhvpd
平	hdphu
美	dphhuhhpd
利	phupduu
文	dhpd
原	hppuvhhupd
再	huvuhh
给	vvhpdhuvh
新	dhdphhupdpphu
代	puhvd
变	dhuupdvd
西	huvpvh
解	pvpvhhuvpphhu
关	dphhpd
才	hup
立	dhdph
并	dphhpu
边	vpdvd
政	huhuhphpd
元	hhpv
别	uvhvpuu
员	uvhuvpd
真	huuvhhhhpd
声	huhvuhp
合	pdhuvh
教	huhpvuhphpd
话	dvphuuvh
每	phvvdhd
太	hpdd
更	huvhhpd
五	huvh
叫	uvhvu
内	uvpd
月	pvhh
百	hpuvhh
甚	huuhhhpdv
女	vph
至	hvdhuh
呢	uvhvhppv
次	dhpvpd
题	uvhhhuhpdhpuvpd
受	pddpdvvd
社	dvudhuh
放	dhvpphpd
山	uvu
入	pd
九	pv
计	dvhu
今	pddv
战	uhuvhhvpd
东	hvupd
怎	phuhhdvdd
被	dvupdvpuvd
总	dpuvhdvdd
结	vvhhuhuvh
则	uvpduu
听	uvhpphu
眼	uvhhhvhhvpd
打	huhhu
庭	dhpphuhvd
名	pvduvh
光	udphpv
路	uvhuhuhpvduvh
车	hvhu
必	dvdpd
命	pdhuvhvu
反	ppvd
角	pvpvhhu
性	dduphhuh
书	vvud
六	dhpd
军	dvhvhu
接	huhdhdphvph
处	pvdud
者	huhpuvhh
色	pvvuhv
八	pd
世	huuhv
像	pupvuvhpvpppd
期	huuhhhpdpvhh
求	hudhpdd
设	dvpvvd
白	puvhh
许	dvphhu
运	hhvddvd
亲	dhdphhupd
指	huhpvuvhh
任	puphuh
图	uvpvdddh
通	vduvhhudvd
觉	ddpdvuvpv
论	dvpdpv
爱	pddpdvhpvd
条	pvdhupd
式	hhuhvd
门	duv
例	puhpvduu
界	uvhuhpdpu
即	vhhvdvu
且	uvhhh
海	ddhphvvdhd
港	ddhhuuhpdvhv
万	hvp
吗	uvhvvh
字	ddvvuh
记	dvvhv
快	dduvhpd
象	pvuvhpvpppd
建	vhhhhuvd
