一下	yi xx
一世	yi ui
一世龙门	yi ui ls mf
一个骨	yi ge gu
一举	yi ju
一了百当	yi le bd dh
一了百当	yi ln bd dh
一仆一碌	yi pu yi lu
一介	yi jp
一代	yi dd
一代文宗	yi dd wf zs
一以当十	yi yi dh ui
一传十	yi ir ui
一体	yi ti
一体同心	yi ti ts xb
一傅众咻	yi fu vs xq
一元化	yi yr hx
一再	yi zd
一刹那	yi ia na
一刻	yi ke
一刻千金	yi ke qm jb
一前一后	yi qm yi hz
一半	yi bj
一去不回	yi qu bu hv
一去不返	yi qu bu fj
一口价	yi kz jp
一口价	yi kz jx
一句话	yi ju hx
一只屐	yi vi ji
一向	yi xl
一味	yi ww
一唱一和	yi ih yi he
一啲	yi di
一块	yi kk
一塌胡涂	yi ta hu tu
一声令下	yi ug lk xx
一夫当关万夫莫开	yi fu dh gr wj fu mo kd
一头烟	yi tz yj
一孔之见	yi ks vi jm
一字不苟	yi zi bu gz
一字之师	yi zi vi ui
一家子	yi jx zi
一寸丹心	yi cy dj xb
一对	yi dv
一小撮	yi xn co
一展风采	yi vj fg cd
一己之私	yi ji vi si
一带	yi dd
一年到头	yi nm dc tz
一式两份	yi ui ll ff
一律	yi lv
一德一心	yi de yi xb
一心	yi xb
一心一德	yi xb yi de
一忍再忍	yi rf zd rf
一息尚存	yi xi uh cy
一手	yi uz
一把手	yi ba uz
一报还一报	yi bc hd yi bc
一报还一报	yi bc hr yi bc
一担担	yi dj dj
一拍两散	yi pd ll sj
一撇嘢	yi pp ye
一整套	yi vg tc
一无所成	yi mo so ig
一无所成	yi wu so ig
一日到黑	yi ri dc hw
一早	yi zc
一时	yi ui
一时时	yi ui ui
一时间	yi ui jm
一暴十寒	yi pu ui hj
一条心	yi tn xb
一来	yi ld
一枝公	yi vi gs
一气	yi qi
一水之隔	yi uv vi ge
一波又起	yi bo yz qi
一波未平	yi bo ww pk
一派	yi pd
一流	yi lq
一炮而红	yi bc er hs
一炮而红	yi pc er hs
一瓣心香	yi bj xb xl
一生	yi ug
一番话	yi fj hx
一瘸一拐	yi qt yi gk
一盅两件	yi vs ll jm
一盘水	yi pj uv
一直	yi vi
一相情愿	yi xl qk yr
一瞬间	yi uy jm
一碧万顷	yi bi wj qk
一碧千里	yi bi qm li
一端	yi dr
一级	yi ji
一脉相承	yi md xl ig
一脚踢	yi jn ti
一般性	yi bj xk
一表人才	yi bn rf cd
一览表	yi lj bn
一角	yi jn
一言一行	yi yj yi xk
一言堂	yi yj th
一语成谶	yi yu ig if
一身正气	yi uf vg qi
一身蚁	yi uf yi
一轮红日	yi ly hs ri
一边	yi bm
一连	yi lm
一连串	yi lm ir
一针一线	yi vf yi xm
一镬熟	yi ho uu
一镬熟	yi ho uz
一面	yi mm
一面之缘	yi mm vi yr
一颈血	yi gg xp
一颈血	yi gg xt
一颈血	yi jk xp
一颈血	yi jk xt
一馈十起	yi kv ui qi
一麟半爪	yi lb bj vc
一麟半爪	yi lb bj vx
一齐	yi qi
丁丑	dk iz
丁亥	dk hd
丁卯	dk mc
丁巳	dk si
丁未	dk ww
丁酉	dk yz
丁香	dk xl
七一	qi yi
七七八八	qi qi ba ba
七国咁乱	qi go gj lr
七大	qi da
七大	qi dd
七巧板	qi qn bj
七年	qi nm
七情上面	qi qk uh mm
七成	qi ig
七横八竖	qi hg ba uu
七步成诗	qi bu ig ui
七绝	qi jt
万万	wj wj
万事	wj ui
万事通	wj ui ts
万嘱咐	wj vu fu
万夫不当	wj fu bu dh
万宝路	wj bc lu
万家生佛	wj jx ug fo
万家生佛	wj jx ug fu
万年	wj nm
万年青	wj nm qk
万念俱焚	wj nm ju ff
万木葱茏	wj mu cs ls
万死一生	wj si yi ug
万水千山	wj uv qm uj
万物	wj wu
万物初醒	wj wu iu xk
万物皆备于我	wj wu jp bw yu wo
万种	wj is
万种	wj vs
万籁	wj ld
万里无云	wj li wu yy
丈夫	vh fu
三伏	sj fu
三叉	sj ia
三叉苏	sj ia su
三唔识七	sj wu ui qi
三唔识七	sj wu vi qi
三天打鱼两天晒网	sj tm da yu ll tm ud wh
三尖八角	sj jm ba jn
三尖八角	sj jm ba jt
三幅被	sj fu bw
三幅被	sj fu pi
三废	sj fw
三座大山	sj zo da uj
三弦	sj xm
三扒两拨	sj ba ll bo
三扒两拨	sj pa ll bo
三文治	sj wf vi
三文鱼	sj wf yu
三昧	sj mw
三民主义	sj mb vu yi
三洋	sj yh
三粒星	sj li xk
三索	sj so
三维	sj ww
三角洲	sj jn vz
上下班	uh xx bj
上下级	uh xx ji
上不得台盘	uh bu de td pj
上不得台盘	uh bu dw td pj
上乘	uh ig
上书	uh uu
上任	uh rf
上冻	uh ds
上告	uh gc
上品	uh pb
上善若水	uh uj ro uv
上场	uh ih
上契	uh qi
上契	uh xp
上好	uh hc
上家	uh jx
上尉	uh ww
上届	uh jp
上山下乡	uh uj xx xl
上峰	uh fg
上工	uh gs
上昼	uh vz
上架	uh jx
