啊	a
阿	aa
愛	ai
安	an
奧	ao
不	b
把	ba
濱	bb
報	bc
白	bd
本	bf
蹦	bg
幫	bh
比	bi
辦	bj
並	bk
邊	bm
表	bn
撥	bo
別	bp
部	bu
被	bw
才	c
擦	ca
草	cc
菜	cd
測	ce
傖	cf
曾	cg
藏	ch
次	ci
參	cj
錯	co
竄	cr
從	cs
粗	cu
催	cv
湊	cz
的	d
大	da
到	dc
代	dd
得	de
等	dg
當	dh
地	di
但	dj
定	dk
點	dm
調	dn
多	do
跌	dp
丟	dq
段	dr
動	ds
讀	du
對	dv
得	dw
都	dz
二	e
誒	ei
恩	en
非	f
法	fa
風	fg
反	fj
佛	fo
副	fu
費	fw
否	fz
個	g
嘎	ga
高	gc
該	gd
各	ge
跟	gf
更	gg
剛	gh
幹	gj
怪	gk
光	gl
過	go
關	gr
共	gs
古	gu
貴	gv
給	gw
夠	gz
和	h
哈	ha
好	hc
還	hd
何	he
很	hf
橫	hg
行	hh
含	hj
壞	hk
黃	hl
或	ho
換	hr
紅	hs
戶	hu
會	hv
黑	hw
後	hz
出	i
差	ia
超	ic
拆	id
車	ie
陳	if
成	ig
長	ih
吃	ii
產	ij
揣	ik
窗	il
戳	io
傳	ir
衝	is
處	iu
吹	iv
抽	iz
就	j
進	jb
幾	ji
經	jk
將	jl
間	jm
叫	jn
接	jp
窘	js
據	ju
加	jx
均	jy
可	k
卡	ka
靠	kc
開	kd
科	ke
肯	kf
坑	kg
抗	kh
看	kj
快	kk
況	kl
擴	ko
寬	kr
空	ks
酷	ku
虧	kv
尅	kw
口	kz
了	l
拉	la
林	lb
老	lc
來	ld
樂	le
冷	lg
浪	lh
裡	li
另	lk
兩	ll
連	lm
料	ln
落	lo
列	lp
劉	lq
亂	lr
龍	ls
路	lu
率	lv
類	lw
論	ly
樓	lz
沒	m
嗎	ma
民	mb
毛	mc
買	md
麼	me
們	mf
夢	mg
米	mi
慢	mj
明	mk
面	mm
末	mo
滅	mp
目	mu
每	mw
某	mz
你	n
那	na
您	nb
鬧	nc
呢	ne
嫩	nf
能	ng
囊	nh
泥	ni
難	nj
寧	nk
娘	nl
年	nm
鳥	nn
挪	no
捏	np
牛	nq
暖	nr
弄	ns
虐	nt
怒	nu
女	nv
內	nw
哦	o
嗯	og
嘸	om
喔	oo
歐	ou
平	p
怕	pa
品	pb
跑	pc
排	pd
盆	pf
碰	pg
旁	ph
批	pi
盤	pj
憑	pk
片	pm
票	pn
破	po
撇	pp
普	pu
配	pw
剖	pz
去	q
親	qb
其	qi
請	qk
強	ql
前	qm
橋	qn
且	qp
求	qq
全	qr
窮	qs
卻	qt
區	qu
恰	qx
群	qy
人	r
繞	rc
熱	re
任	rf
仍	rg
讓	rh
日	ri
然	rj
若	ro
軟	rr
容	rs
如	ru
肉	rz
三	s
撒	sa
掃	sc
賽	sd
色	se
森	sf
僧	sg
桑	sh
四	si
散	sj
所	so
算	sr
送	ss
蘇	su
歲	sv
搜	sz
他	t
她	ta
套	tc
太	td
特	te
騰	tg
湯	th
體	ti
談	tj
聽	tk
天	tm
調	tn
託	to
貼	tp
團	tr
同	ts
圖	tu
頭	tz
是	u
傻	ua
少	uc
曬	ud
設	ue
深	uf
生	ug
上	uh
時	ui
山	uj
帥	uk
雙	ul
說	uo
拴	ur
數	uu
水	uv
誰	uw
刷	ux
順	uy
受	uz
這	v
扎	va
找	vc
著	ve
真	vf
正	vg
長	vh
只	vi
佔	vj
拽	vk
裝	vl
桌	vo
轉	vr
中	vs
主	vu
追	vv
周	vz
我	w
挖	wa
外	wd
王	wh
完	wj
握	wo
無	wu
為	ww
小	x
新	xb
系	xi
行	xk
想	xl
先	xm
笑	xn
些	xp
修	xq
選	xr
凶	xs
學	xt
需	xu
下	xx
一	y
亞	ya
因	yb
要	yc
也	ye
樣	yh
以	yi
言	yj
應	yk
喲	yo
元	yr
用	ys
月	yt
與	yu
雲	yy
有	yz
在	z
雜	za
早	zc
再	zd
則	ze
