星期一	xqy
星期二	xqe
星期三	xqs
星期四	xqs
星期五	xqw
星期六	xql
星期日	xqr
越来越	yly
哈尔滨	heb
共产党	gid
实际上	uju
一部分	ybf
俱乐部	jlb
自行车	zxi
为什么	wsm
平方米	pfm
计算机	jsj
不得不	bdb
是不是	ubu
负责人	fzr
市政府	uvf
怎么样	zmy
出版社	ibu
工程师	giu
新加坡	xjp
一辈子	ybz
房地产	fdi
内蒙古	nmg
凝聚力	njl
拖拉机	tlj
注意力	vyl
主旋律	vxl
资本家	zbj
混凝土	hnt
下意识	xyu
老百姓	lbx
大学生	dxu
一系列	yxl
奥运会	ayh
俄罗斯	els
国民党	gmd
人民币	rmb
天然气	trq
蛋白质	dbv
太平洋	tpy
解放军	jfj
安理会	alh
图书馆	tug
莫斯科	msk
世界观	ujg
年轻人	nqr
意味着	ywv
当事人	dur
说不定	ubd
差不多	ibd
老人家	lrj
生命力	uml
建筑物	jvw
中学生	vxu
运动会	ydh
吸引力	xyl
摩托车	mti
太阳能	tyn
农作物	nzw
司令员	sly
穆斯林	msl
之所以	vsy
不至于	bvy
指导员	vdy
一口气	ykq
致力于	vly
菲律宾	flb
事务所	uws
太极拳	tjq
可行性	kxx
核武器	hwq
不得了	bdl
老天爷	lty
目的地	mdd
印度洋	ydy
芭蕾舞	blw
岂不是	qbu
洗衣机	xyj
恨不得	hbd
体育馆	tyg
男子汉	nzh
天主教	tvj
交易所	jys
停车场	tii
不起眼	bqy
立交桥	ljq
大气层	dqc
西红柿	xhu
导火索	dhs
表现力	bxl
没意思	mys
兵马俑	bmy
靠不住	kbv
杂志社	zvu
一方面	yfm
对不起	dbq
有助于	yvy
开幕式	kmu
原材料	ycl
科学家	kxj
上半年	ubn
积极性	jjx
责任感	zrg
规范化	gfh
公务员	gwy
阿富汗	afh
了不起	lbq
来不及	lbj
不要紧	byj
强制性	qvx
连续性	lxx
法西斯	fxs
自来水	zlu
共和国	ghg
大熊猫	dxm
相当于	xdy
理论上	llu
一揽子	ylz
受不了	ubl
博览会	blh
笑嘻嘻	xxx
下半年	xbn
一回事	yhu
不失为	buw
无所谓	wsw
所得税	sdu
发言人	fyr
消费品	xfp
海内外	hnw
通讯社	txu
经纪人	jjr
一阵子	yvz
连续剧	lxj
三角形	sjx
办公楼	bgl
打官司	dgs
劳动法	ldf
来得及	ldj
身份证	ufv
看起来	kql
看样子	kyz
收音机	uyj
普通话	pth
老太婆	ltp
形式上	xuu
羽毛球	ymq
一条龙	ytl
发动机	fdj
爱尔兰	ael
主席台	vxt
基督教	jdj
必要性	byx
火车站	hiv
要不然	ybr
外交官	wjg
大本营	dby
代表作	dbz
干巴巴	gbb
纪念品	jnp
招待所	vds
显微镜	xwj
中老年	vln
小汽车	xqi
集散地	jsd
动物园	dwy
渥太华	wth
霓虹灯	nhd
茉莉花	mlh
大丈夫	dvf
纪录片	jlp
照相机	vxj
孤零零	gll
可不是	kbu
圣诞节	udj
拉家常	lji
牛鼻子	nbz
不景气	bjq
黑名单	hmd
居民区	jmq
哺乳期	brq
白热化	brh
清洁工	qjg
红细胞	hxb
电冰箱	dbx
紧箍咒	jgv
命中率	mvl
门诊部	mvb
繁体字	ftz
二传手	eiu
捉迷藏	vmc
慕尼黑	mnh
无休止	wxv
充其量	iql
自留地	zld
四不像	sbx
瞌睡虫	kui
冒牌货	mph
可能性	knx
元器件	yqj
浏览器	llq
开夜车	kyi
爱面子	amz
安乐窝	alw
计算器	jsq
靠得住	kdv
水平线	upx
尖锐化	jrh
退堂鼓	ttg
保龄球	blq
芝麻官	vmg
南半球	nbq
满天飞	mtf
地头蛇	dtu
障眼法	vyf
外孙女	wsn
大老粗	dlc
死对头	sdt
错别字	cbz
北极星	bjx
意大利	ydl
个性化	gxh
中科院	vky
无线电	wxd
老头子	ltz
三轮车	sli
开玩笑	kwx
紫外线	zwx
华尔街	hej
保证金	bvj
飞行员	fxy
单方面	dfm
战斗机	vdj
大西洋	dxy
天文台	twt
矿泉水	kqu
望远镜	wyj
东南亚	dny
葡萄糖	ptt
地平线	dpx
不得已	bdy
离退休	ltx
大理石	dlu
无条件	wtj
对得起	ddq
气呼呼	qhh
特殊性	tux
星期天	xqt
冷冰冰	lbb
水龙头	ult
心脏病	xzb
老爷子	lyz
死亡率	swl
自信心	zxx
过日子	grz
看不起	kbq
莫须有	mxy
跆拳道	tqd
第三者	dsv
利润率	lrl
骨子里	gzl
大合唱	dhi
说明书	umu
专业户	vyh
马尼拉	mnl
普遍性	pbx
清真寺	qvs
老祖宗	lzz
大不了	dbl
等不及	dbj
怪不得	gbd
轻飘飘	qpp
流行病	lxb
女朋友	npy
堪培拉	kpl
发源地	fyd
发祥地	fxd
灭火器	mhq
工艺品	gyp
兴奋剂	xfj
明摆着	mbv
三部曲	sbq
过得去	gdq
港澳台	gat
真实性	vux
升学率	uxl
南美洲	nmv
信得过	xdg
小动作	xdz
毛茸茸	mrr
