〆	sime
一	l
一	hazime
一	hito
一	it
一	iti
一	kazu
一	makoto
一	osamu
一	tuita
丁	hinoto
丁	tei
丁	tyou
丁	yoro
七	nana
七	nano
七	siti
万	ara
万	ban
万	man
万	yorozu
丈	masuo
丈	take
丈	takesi
丈	zyou
三	mit
三	san
上	kami
上	kamino
上	kamura
上	kan
上	kano
上	nobo
上	noboru
上	ue
上	uwa
上	zyou
下	ge
下	geno
下	ka
下	kuda
下	moto
下	simo
下	sita
不	hu
与	atae
与	azuka
丑	usi
且	katu
世	sei
世	yo
丘	oka
丘	takasi
丙	hei
丙	hinoe
丞	suke
丞	susumu
丞	zyou
両	ryou
並	nami
中	ata
中	atari
中	ataru
中	kanae
中	kaname
中	mituru
中	naka
中	tyuu
中	uti
中	zyuu
串	kusi
丸	maru
丸	tama
丹	aka
丹	makoto
丹	ni
丹	nii
丹	tan
主	aruzi
主	mamoru
主	nusi
主	omo
主	syu
主	tukasa
丼	don
丼	donburi
乃	osamu
久	hisa
久	hisasi
之	kore
之	no
乏	tomo
乗	no
乗	zyou
乙	kinoto
乙	otu
九	kokono
九	ku
九	kyuu
也	nari
乱	ran
乳	titi
乾	inui
乾	ken
亀	hisasi
亀	kame
亀	kyuu
了	ryou
了	satoru
予	yo
事	goto
事	koto
事	tutomu
事	zi
二	huta
二	hutu
二	ni
于	yu
云	un
互	tagai
五	atumu
五	go
五	itu
井	i
井	wakasi
亘	kou
亘	wata
亘	watari
亘	wataru
亙	wata
亙	wataru
亜	a
亜	miniku
亞	tuguru
亡	na
亥	i
亥	kai
亦	eki
亦	hitosi
亦	mata
亦	yaku
亨	akira
亨	susumu
亨	tohoru
亨	tooru
亨	yuki
享	akira
享	ryou
享	susumu
享	tooru
京	kei
京	kyou
京	miyako
京	takasi
亭	tei
亭	tin
亮	akira
亮	makoto
亮	ryou
亮	tooru
亶	atu
人	hito
人	nin
人	zin
仁	hirosi
仁	hitosi
仁	makoto
仁	masasi
仁	sinobu
仁	tadasi
仁	zin
仇	ada
仇	kataki
仇	kyuu
今	ima
今	kon
介	kai
仏	botoke
仏	hotoke
仏	huransu
仏	hutu
仔	ko
仕	tukamatu
他	hoka
他	ta
付	duke
付	hu
付	tuke
付	tuketari
付	tuki
付	zuke
仙	sen
代	dai
代	kawa
代	siro
令	rei
令	ryou
仮	kari
仰	ossiya
仰	takasi
仲	naka
仲	tyuu
件	ken
件	kudan
件	kudari
任	nin
任	tutomu
伊	i
伊	itaria
伍	atumu
伍	go
伍	kumu
伏	huku
伏	husi
