的	dbd
一	yaa
了	lva
是	uor
不	bad
我	wpd
人	rpn
在	zut
這	vzy
他	trv
有	yuo
来	lan
道	dzq
你	nrx
個	grk
大	dan
到	dda
上	uaa
說	uye
說	yye
們	mrm
着	vyo
出	iek
中	vaa
地	dtv
那	nev
就	jwd
也	yvv
下	xad
要	yxn
子	zva
時	uoc
為	wdh
然	rhp
可	kdk
她	tnv
過	gzk
之	vdn
以	yvr
看	kuo
会	hrs
会	krs
得	drc
天	tad
去	qts
自	zpo
好	hnz
心	xdd
和	hhk
没	mdy
能	nsv
対	ddc
還	hzy
裏	lwy
小	xad
手	upa
而	eaa
起	qzv
隻	vry
身	upp
想	xxm
都	det
頭	tdb
如	rnk
無	mrh
無	wrh
麺	mfa
多	dpd
已	yvv
発	fvv
事	uaa
生	upf
知	vuk
傢	jrn
前	qqd
声	uup
開	kmk
方	fwp
経	jst
現	xwj
笑	xvd
什	uru
力	lgp
点	dha
両	lak
法	fds
国	gkw
様	ymd
所	spj
成	igv
意	yxl
見	joe
但	dra
老	ltv
用	ypa
又	yvn
情	qxo
噹	dkt
動	dpl
己	jvv
些	xev
行	hrd
行	xrd
此	cvv
眼	yon
気	qqx
把	bfv
迴	hzk
話	hyk
将	jdc
真	vub
長	ian
長	van
三	sae
間	jmo
進	jzf
年	nra
神	upa
明	moo
十	uaa
辻	uzu
女	nva
嚮	xvk
定	dbr
正	vav
実	ubn
本	baa
很	hrn
衕	trd
従	crr
従	trr
高	gwk
問	wmk
纔	csd
全	qrw
被	bpp
被	ppp
主	vdw
再	zaa
走	ztr
卻	qek
児	eae
分	fbd
口	kaa
其	qqb
作	zra
種	iha
種	vha
幾	jsg
外	wpd
打	dfd
最	zoy
門	maa
与	yaa
給	gsk
給	jsk
光	gxe
白	bpo
等	dvc
聴	tex
因	ykd
重	ipa
重	vpa
少	uxp
風	fji
相	xmo
住	vrw
次	cdr
何	hrk
譲	ryy
色	sdv
色	udv
二	eaa
公	gbs
日	rka
怎	zxr
名	mpk
死	sdv
便	brn
便	prn
位	wrl
部	bel
果	gan
応	ygx
体	tra
感	gxg
太	tdd
內	nad
覚	jxj
水	uan
先	xne
難	ncf
王	wat
比	bav
別	bdk
入	rpn
辺	bzd
第	dvp
直	vuq
機	jmj
理	lwa
快	kxn
更	gan
做	zrw
処	iwj
者	vto
並	bqa
接	jfn
西	xaa
馬	mah
軽	qit
四	ske
関	gmd
山	uka
月	ype
放	fwf
連	lzi
加	jlk
目	mka
臉	lor
飛	fvd
使	urn
竜	llv
強	jgi
強	qgi
張	vgn
