耬	olzl
耮	olcl
聖	ouge
聞	owfm
聯	olme
聰	ocse
聲	ouge
聳	osse
聴	otke
聵	okve
聶	onpe
職	ovie
聹	onke
聽	otkk
聾	olse
肅	osuv
脅	oxpl
脇	oxpo
脈	omdo
脈	omoo
脛	ojko
脣	oiyo
脫	otoo
脳	onco
脹	ovho
腎	oufo
腖	odso
腡	oloo
腦	onco
腫	ovso
腳	ojno
腸	oiho
膃	owao
膚	ofuo
膠	ojno
膩	onio
膽	odjo
膾	okko
膿	onso
臉	olmo
臍	oqio
臏	obbo
臓	ozho
臘	olao
臘	oxio
臚	oluo
臠	olrw
臢	ozao
臥	owok
臨	olbk
臺	otdu
與	oyup
#check here
興	oxkx
舉	ojux
舊	ojqa
舎	ouer
舗	opur
艙	ochv
艤	oyiv
艦	ojmv
艫	oluv
艱	ojmy
艶	oyja
芻	oiud
苧	onkc
苧	ovuc
茲	ociq
茲	oziq
荊	ojkd
荘	ovlc
莊	ovlg
莖	ojkc
莢	ojxc
莧	oxmc
菓	ogoc
華	ohxu
萇	oihc
萊	oldc
萬	owja
萵	owoc
葉	oxpk
葉	oyek
葒	ohsc
葤	ovzc
葦	owwc
葷	ohyc
蒔	ouic
蒞	olic
蒼	ochc
蓀	osyc
蓋	ogdm
蓮	olmc
蓯	ocsc
蓴	oiyc
蓽	obic
蔞	olzc
蔣	ojlc
蔥	ocsc
蔦	onnc
蔭	oybc
蔵	ochc
蕁	oqmc
蕁	oxyc
蕆	oijc
蕎	oqnc
蕒	omdc
蕕	oyzc
蕘	orcc
蕢	okkc
蕢	okvc
蕩	odhc
蕪	owuc
蕭	oxnc
蕷	oyuc
薈	ohvc
薊	ojic
薌	oxlc
薔	oqlc
薘	odac
薟	olmc
薟	oxmc
薦	ojmc
薩	osac
薫	oxyc
薬	oycc
薺	ojic
薺	oqic
藍	oljc
藎	ojbc
藝	oyic
藥	oycc
藪	oszc
藶	olic
藹	oaic
藺	olbc
蘄	oqic
蘆	oluc
蘇	osuc
蘊	oyyc
蘋	opgc
蘋	opkc
蘚	oxmc
蘞	olmc
蘢	olsc
蘭	oljq
蘺	olic
蘿	oloc
處	oiuw
虛	oxuh
虜	oluh
號	ohck
虧	okve
虯	oqqi
蛍	oykx
蛺	ojxi
蛻	otvi
蜆	oxmi
蝕	ouiu
蝟	owwq
蝦	oxxi
蝸	owoi
螄	osii
螞	omai
螢	oykc
螻	olzi
蟄	ovei
蟈	ogoi
蟎	omji
蟣	ojii
蟬	oiji
蟯	onci
蟲	oisa
蟶	oigi
蟻	oyii
蠅	oyki
蠆	oida
蠍	oxpi
蠐	oqii
蠑	orsi
蠔	ohci
蠔	ohci
蠟	olai
蠣	olii
蠱	ogum
蠶	ocja
蠻	omjw
衆	ovlx
術	ouum
衛	owwe
衝	oisd
袞	ogyw
裏	oliw
補	obup
裝	ovly
裡	olia
製	oviy
複	ofup
褲	okup
褳	olmp
褸	olvp
褻	oxpw
襆	ofuj
襉	ojmp
襖	oaop
襝	olmp
襠	odhp
襤	oljp
襪	owap
襯	oifp
襲	oxil
覇	obax
見	ojmk
規	ogva
覓	omiv
視	ouip
覘	oija
覚	ojtx
覡	oxip
覦	oyur
覧	oljk
親	oqbl
親	oqkl
覬	ojie
覯	ogzc
覲	ojbc
観	ogrj
覷	oquh
覺	ojnx
覺	ojtx
覽	oljj
覿	odiu
觀	ogry
觴	ouhj
觶	ovij
觸	oiuj
訂	odky
訃	ofuy
計	ojiy
訊	oxyy
訌	ohsy
討	otcy
訐	ojpy
訓	oxyy
訕	oujy
訖	oqiy
託	otof
託	otoy
記	ojiy
訛	oeey
訝	oyay
訟	ossy
訣	ojty
訥	oney
訪	ofhy
設	ouey
許	oxuy
訳	oyiy
訴	osuy
訶	ohey
診	ovfy
証	ovgy
詁	oguy
詆	odiy
詎	ojuy
詐	ovay
詒	oddy
詒	oyiy
詔	ovcy
評	opky
詘	oquy
詛	ozuy
詞	ociy
詠	oysk
詡	oxuy
詢	oxyy
詣	oyiy
試	ouiy
詩	ouiy
詫	oiay
詬	ogzy
詭	ogvy
詮	oqry
詰	ojiy
詰	ojpy
話	ohxy
該	ogdy
詳	oxly
詵	oufy
詼	ohvy
詿	ogxy
誄	olwy
誅	ovuy
誆	okly
誇	okxd
誌	oviy
認	orfy
誑	okly
誒	oeiy
誕	odjy
誘	oyzy
誚	oqny
語	oyuy
誠	oigy
誡	ojpy
誣	owuy
誤	owuy
誥	ogcy
誦	ossy
誨	ohvy
說	ouoy
說	ouvy
說	oyty
説	ouoy
読	oduy
誰	ouvy
誰	ouwy
課	okey
誶	osvy
誹	ofwy
誼	oyiy
調	odny
調	otny
諂	oijy
諄	ovyy
談	otjy
諉	owwy
請	oqky
諍	ovgy
諏	ozzy
諑	ovoy
諒	olly
論	olyy
諗	oufy
諛	oyuy
諜	odpy
諝	oxuy
諞	opmy
諡	ouiy
諢	ohyy
諤	oeey
諦	odiy
諧	oxpy
諫	ojmy
諭	oyuy
諮	ozik
諮	oziy
諱	ohvy
諳	oany
諶	oify
諶	oufy
諷	ofgy
諸	ovuy
諺	oyjy
諼	oxry
諾	onoy
謀	omzy
謁	oyey
謂	owwy
謄	otgb
謅	ovzy
謊	ohly
謎	omiy
謐	omiy
謔	oxty
謖	osuy
謗	obhy
謙	oqmy
講	ojly
謝	oxpy
謠	oycy
謡	oycy
謨	omoy
謫	ovey
謬	omqy
謳	oouy
謹	ojby
謾	omjy
譁	ohxk
證	ovgy
譎	ojty
譏	ojiy
譖	ozfy
識	ouiy
識	oviy
譙	oqny
譚	otjy
譜	opuy
譫	ovjy
譯	oyiy
議	oyiy
譲	orjy
譴	oqmy
護	ohuf
譽	oyux
譾	ojmy
讀	oduy
讀	odzy
變	obmw
讎	oizy
讒	oijy
讓	orhy
讕	oljy
讖	oify
讜	odhy
讞	oyjy
豈	oqie
豊	ofga
豎	ouul
豐	ofga
豔	oyjf
豬	ovuq
貓	omcq
貝	obwk
貞	ovfb
負	ofub
財	ocdb
貢	ogsb
貧	opbb
貨	ohob
販	ofjb
貪	otjb
貫	ogrb
責	ozeb
貯	ovub
貰	ouib
貲	ozib
貳	oerq
貴	ogvb
貶	obmb
買	omdv
貸	oddb
貺	oklb
費	ofwb
貼	otpb
貽	oyib
貿	omcb
賀	oheb
賁	obfb
賁	obib
賂	olub
賃	olbb
賄	ohvb
賅	ogdb
資	ozib
賈	ogub
賈	ojxb
賊	ozwb
賑	ovfb
賒	oueb
賓	obbb
賕	oqqb
賙	ovzb
賚	oldb
賛	ozjb
賜	ocib
賞	ouhb
賠	opwb
賡	oggg
賢	oxmb
賣	omdu
賤	ojmb
賦	ofub
賧	odjb
質	ovip
賭	odub
賴	olda
賺	ovrb
賺	ozjb
賻	ofub
購	ogzb
賽	osdb
賾	ozek
贄	ovib
贅	ovvb
贈	ozgb
䴉	ohrn
贊	ozjb
贍	oujb
贏	oykw
贐	ojbb
贓	ozhb
贔	obib
贖	ouub
贗	oyji
贛	ogjl
趕	ogjz
趙	ovcz
趨	oquz
趲	ozjz
跡	ojiz
踐	ojmz
丟	odqp
両	olla
並	obkq
踴	oysz
蹌	oqlz
蹕	obiz
乗	oigp
蹣	opjz
蹤	ozsz
蹺	oqnz
亀	ogbd
躂	odaz
亂	olrp
躉	odya
躊	oizz
躋	ojiz
躍	oytz
躑	oviz
躒	oliz
躒	oloz
躓	oviz
躕	oiuz
亙	ogfa
躚	oxmz
亜	oyaa
躝	oljz
躝	oljz
亞	oyaa
躡	onpz
躥	ocrz
躦	ozrz
躪	olbz
軀	oquu
車	oiea
車	ojua
軋	ogai
軋	ovai
軋	oyai
軌	ogvi
軍	ojyb
仏	ofor
軒	oxri
軔	orfi
軛	oeei
軟	orri
転	ovri
軤	ohui
軫	ovfi
仮	ojxr
軲	ogui
軸	ovzi
軹	ovii
軺	oyci
軻	okei
軼	oyii
軽	oqki
軾	ouii
較	ojni
輅	olui
輇	oqri
載	ozdi
輊	ovii
輒	ovei
輔	ofui
輕	oqki
輛	olli
輜	ozii
輝	ohvg
伝	oirr
輞	owhi
輟	oioi
輥	ogyi
輦	onmi
輩	obwi
輪	olyi
輯	ojii
輳	oczi
輸	ouui
輻	ofui
輾	onmi
輾	ovji
輾	ozji
輿	oyup
轂	oguu
轄	oxxi
轅	oyri
轆	olui
佇	ovur
轉	ovri
轍	ovei
轎	ojni
轔	olbi
佔	ovja
轟	ohsi
轡	opwk
轢	olii
轤	olui
併	obkr
來	olda
侖	olyr
価	ojxr
辦	objl
