啊	a
二	a;
哦	a/
不	b
把	b;
畀	b/
才	c
出	c;
重	c/
的	d
啲	d;
哋	d/
非	f
发	f;
法	f/
个	g
嘅	g;
咁	g/
和	h
好	h;
华	h/
就	j
㗎	j;
计	j/
可	k
佢	k;
看	k/
了	l
冧	l;
撚	l/
没	m
乜	m;
冇	m/
你	n
廿	n;
乸	n/
平	p
被	p;
便	p/
去	q
前	q;
其	q/
人	r
日	r;
然	r/
是	s
三	s;
十	s/
他	t
她	t;
它	t/
我	w
为	w;
无	w/
小	x
行	x;
系	x/
一	y
有	y;
嘢	y/
在	z
这	z;
中	z/
偶尔	aa
恩赐	ac
而非	af
爱护	ah
安静	aj
拗口	ak
案例	al
澳门	am
安排	ap
而且	aq
偶然	ar
暗示	as
凹凸	at
呕吐	at
安慰	aw
爱心	ax
而已	ay
而言	ay
安装	az
本来	bl
并且	bq
不然	br
比赛	bs
必须	bx
不要	by
标准	bz
成本	cb
参考	ck
从来	cl
层面	cm
从头	cn
承诺	cn
产品	cp
冲突	ct
错误	cw
出现	cx
成员	cy
代表	db
地方	df
到了	dl
带来	dl
代替	dt
东西	dx
第一	dy
反而	fa
分别	fb
讽刺	fc
非常	fc
反对	fd
方法	ff
返回	fh
分开	fk
法律	fl
方面	fm
烦恼	fn
分配	fp
放弃	fq
否认	fr
放松	fs
繁体	ft
发现	fx
反应	fy
反正	fz
根本	gb
过程	gc
干嘛	gm
功能	gn
股票	gp
过去	gq
沟通	gt
更新	gx
关于	gy
何必	hb
好处	hc
号码	hm
湖南	hn
害怕	hp
回去	hq
后天	ht
互相	hx
欢迎	hy
金额	ja
骄傲	ja
精彩	jc
简单	jd
解放	jf
结果	jg
几乎	jh
解决	jj
及其	jq
加入	jr
今天	jt
几位	jw
简直	jz
节奏	jz
恐怖	kb
看出	kc
科目	km
可能	kn
恐怕	kp
况且	kq
开通	kt
科学	kx
可以	ky
浪费	lf
了解	lj
论坛	lt
联系	lx
漫画	mh
目录	ml
每年	mn
默认	mr
貌似	ms
明天	mt
每天	mt
明显	mx
每周	mz
难道	nd
那些	nx
普洱	pa
配额	pa
脾气	pq
骗人	pr
破碎	ps
平台	pt
普通	pt
培训	px
配置	pz
前后	qh
期间	qj
前往	qw
千万	qw
其中	qz
认可	rk
人类	rl
人们	rm
热闹	rn
人品	rp
日期	rq
如同	rt
认为	rw
顺便	sb
思考	sk
算了	sl
什么	sm
随你	sn
索赔	sp
事情	sq
神色	ss
身体	st
所谓	sw
思想	sx
所以	sy
讨论	tl
天天	tt
统一	ty
完成	wc
无法	wf
唯恐	wk
为了	wl
网络	wl
我们	wm
无奈	wn
完全	wq
无私	ws
问题	wt
唯一	wy
西欧	xa
下次	xc
相当	xd
喜欢	xh
现金	xj
协助	xz
现在	xz
一定	yd
月份	yf
应该	yg
要求	yq
因为	yw
一下	yx
一直	yz
准备	zb
总部	zb
自己	zj
走开	zk
走了	zl
怎么	zm
这么	zm
怎能	zn
指南	zn
作品	zp
照片	zp
中心	zx
最新	zx
这样	zy
