的	dbd
一	yaa
是	sor
了	lva
不	bad
在	zut
有	yuo
個	grk
人	rpn
這	zzy
上	saa
中	zaa
大	dan
為	wdh
來	lan
我	wpd
到	dda
出	cek
要	yxn
以	yvr
時	soc
和	hhk
地	dtv
們	mrm
得	drc
可	kdk
下	xad
對	dac
生	spf
也	yvv
子	zva
就	jwd
過	gzk
能	nsv
他	trv
會	hro
會	kro
多	dpd
發	fvy
而	aaa
於	wfd
於	yfd
自	zpo
之	zdn
用	ypa
年	nra
行	hrd
行	xrd
家	jbn
方	fwp
後	hrw
作	zra
成	cgv
開	kmk
面	maa
事	saa
好	hnz
小	xad
心	xdd
前	qqd
所	spj
道	dzq
法	fds
如	rnk
進	jzf
着	zyo
同	tkk
經	jsg
分	fbd
定	dbr
都	det
然	rhp
與	ypb
本	baa
還	hzy
其	qqb
當	dxt
起	qzv
動	dpl
已	yvv
兩	lar
點	dhk
從	crr
問	wmk
裏	lwy
主	zdw
實	sbb
天	tad
高	gwk
去	qts
現	xwj
長	can
長	zan
此	cvv
三	sae
將	jdc
無	mrh
無	wrh
國	gka
全	qrw
文	wwx
理	lwa
明	moo
日	rka
些	xev
看	kuo
只	zkb
公	gbs
等	dvc
十	saa
意	yxl
正	zav
外	wpd
想	xxm
間	jmo
把	bfv
情	qxo
者	zto
沒	mdy
重	cpa
重	zpa
相	xmo
那	nev
向	xpk
知	zuk
因	ykd
樣	ymn
學	xzp
應	ygx
又	yvn
手	spa
但	dra
信	xrk
關	gma
使	srn
種	cha
種	zha
見	joe
力	lgp
名	mpk
二	aaa
處	chj
門	maa
並	bqa
口	kaa
麼	mgs
麼	ygs
先	xne
位	wrl
頭	tdb
回	hkk
話	hyk
很	hrn
再	zaa
由	yaa
身	spp
入	rpn
內	nad
第	dvp
平	pau
被	bpp
被	ppp
給	gsk
給	jsk
次	cdr
別	bdk
幾	jsg
月	ype
真	zub
立	lla
新	xlj
通	tzs
少	sxp
機	jmj
打	dfd
水	san
果	gan
最	zoy
部	bel
何	hrk
安	abn
接	jfn
報	bty
聲	sue
才	cap
體	tkd
今	jrv
合	grk
合	hrk
性	xxf
西	xaa
你	nrx
放	fwf
表	bfy
目	mka
加	jlk
常	cxj
做	zrw
己	jvv
老	ltv
四	ske
件	jrn
解	jjn
解	xjn
路	lzk
更	gan
走	ztr
比	bav
總	zsx
金	jrb
管	gvk
光	gxe
工	gaa
結	jsk
提	dfr
提	tfr
任	rru
東	dan
原	yix
便	brn
便	prn
美	myd
及	jpn
教	jwt
難	ncf
世	scv
至	zta
氣	qrm
神	spa
山	ska
數	swa
利	ldh
書	svo
代	drd
直	zuq
色	sdv
場	ctp
變	bws
記	jyv
張	zgn
必	bdp
受	svy
交	jwf
非	faa
服	foy
化	hrv
求	qad
風	fji
度	dgy
太	tdd
萬	wcd
各	gwk
算	svc
邊	bzp
王	wat
什	sru
快	kxn
許	xyu
連	lzi
五	waa
活	hdk
思	sxt
該	gyr
步	bvp
海	hdd
指	zfo
物	wnp
則	zdb
女	nva
或	hga
完	wbe
馬	mah
強	jgi
強	qgi
言	ywk
條	trm
特	tnc
命	mre
感	gxg
清	qdo
帶	dfj
認	ryx
保	brm
望	www
轉	zic
傳	crc
傳	zrc
兒	ape
制	zdp
幹	guu
計	jyu
民	mvq
白	bpo
住	zrw
字	zbz
它	tbv
義	yyd
車	caa
車	jaa
像	xrn
反	fpy
象	xdn
題	toa
卻	qek
流	ldv
且	qaa
即	jev
深	sdm
近	jzj
形	xap
取	qey
往	wrw
系	jps
系	xps
量	loa
論	lya
告	gnk
息	xxp
讓	ryy
決	jdn
未	wan
花	hcv
收	swv
滿	mdr
每	mrd
華	hca
業	yan
南	nuu
覺	jpj
電	dyv
空	kbg
眼	yon
聽	tex
遠	yzt
師	spj
元	yee
請	qyo
容	rbk
她	tnv
軍	jbi
士	sua
百	bab
辦	bll
語	yyk
期	qqo
北	bav
林	lmm
識	syg
