啊	a
二	a;
哦	a/
不	b
把	b;
畀	b/
才	c
出	c;
重	c/
的	d
啲	d;
哋	d/
非	f
發	f;
法	f/
個	g
嘅	g;
咁	g/
和	h
好	h;
華	h/
就	j
㗎	j;
計	j/
可	k
佢	k;
看	k/
了	l
冧	l;
撚	l/
沒	m
乜	m;
冇	m/
你	n
廿	n;
乸	n/
平	p
被	p;
便	p/
去	q
前	q;
其	q/
人	r
日	r;
然	r/
是	s
三	s;
十	s/
他	t
她	t;
它	t/
我	w
為	w;
無	w/
小	x
行	x;
系	x/
一	y
有	y;
嘢	y/
在	z
這	z;
中	z/
偶爾	aa
恩賜	ac
而非	af
愛護	ah
安靜	aj
拗口	ak
案例	al
澳門	am
安排	ap
而且	aq
偶然	ar
暗示	as
凹凸	at
嘔吐	at
安慰	aw
愛心	ax
而已	ay
而言	ay
安裝	az
本來	bl
並且	bq
不然	br
比賽	bs
必須	bx
不要	by
標準	bz
成本	cb
參考	ck
從來	cl
層面	cm
從頭	cn
承諾	cn
產品	cp
衝突	ct
錯誤	cw
出現	cx
成員	cy
代表	db
地方	df
到了	dl
帶來	dl
代替	dt
東西	dx
第一	dy
反而	fa
分別	fb
諷刺	fc
非常	fc
反對	fd
方法	ff
返回	fh
分開	fk
法律	fl
方面	fm
煩惱	fn
分配	fp
放棄	fq
否認	fr
放鬆	fs
繁體	ft
發現	fx
反應	fy
反正	fz
根本	gb
過程	gc
幹嘛	gm
功能	gn
股票	gp
過去	gq
溝通	gt
更新	gx
關於	gy
何必	hb
好處	hc
號碼	hm
湖南	hn
害怕	hp
回去	hq
後天	ht
互相	hx
歡迎	hy
金額	ja
驕傲	ja
精彩	jc
簡單	jd
解放	jf
結果	jg
幾乎	jh
解決	jj
及其	jq
加入	jr
今天	jt
幾位	jw
簡直	jz
節奏	jz
恐怖	kb
看出	kc
科目	km
可能	kn
恐怕	kp
況且	kq
開通	kt
科學	kx
可以	ky
浪費	lf
瞭解	lj
論壇	lt
聯繫	lx
漫畫	mh
目錄	ml
每年	mn
默認	mr
貌似	ms
明天	mt
每天	mt
明顯	mx
每週	mz
難道	nd
那些	nx
普洱	pa
配額	pa
脾氣	pq
騙人	pr
破碎	ps
平臺	pt
普通	pt
培訓	px
配置	pz
前後	qh
期間	qj
前往	qw
千萬	qw
其中	qz
認可	rk
人類	rl
人們	rm
熱鬧	rn
人品	rp
日期	rq
如同	rt
認為	rw
順便	sb
思考	sk
算了	sl
什麼	sm
隨你	sn
索賠	sp
事情	sq
神色	ss
身體	st
所謂	sw
思想	sx
所以	sy
討論	tl
天天	tt
統一	ty
完成	wc
無法	wf
唯恐	wk
為了	wl
網絡	wl
我們	wm
無奈	wn
完全	wq
無私	ws
問題	wt
唯一	wy
西歐	xa
下次	xc
相當	xd
喜歡	xh
現金	xj
協助	xz
現在	xz
一定	yd
月份	yf
應該	yg
要求	yq
因為	yw
一下	yx
一直	yz
準備	zb
總部	zb
自己	zj
走開	zk
走了	zl
怎麼	zm
這麼	zm
怎能	zn
指南	zn
作品	zp
照片	zp
中心	zx
最新	zx
這樣	zy
