啊	a
阿	aa
昂	ah
爱	ai
吗	am
安	an
奥	ao
不	b
把	ba
滨	bn
报	bk
白	bl
本	bf
蹦	bg
帮	bh
比	bi
办	bj
并	by
边	bm
表	bc
拨	bo
别	bx
部	bu
被	bz
才	c
擦	ca
草	ck
菜	cl
测	ce
岑	cf
曾	cg
藏	ch
次	ci
参	cj
错	co
窜	cr
从	cs
粗	cu
催	cv
村	cp
凑	cb
的	d
大	da
到	dk
代	dl
得	de
等	dg
当	dh
地	di
但	dj
定	dy
点	dm
调	dc
多	do
跌	dx
丢	dq
段	dr
动	ds
读	du
对	dv
得	dz
顿	dp
都	db
二	e
诶	ei
恩	en
非	f
法	fa
分	ff
风	fg
放	fh
反	fj
佛	fo
副	fu
费	fz
否	fb
个	g
嘎	ga
高	gk
该	gl
各	ge
跟	gf
更	gg
刚	gh
干	gj
怪	gy
光	gd
过	go
关	gr
共	gs
古	gu
贵	gv
给	gz
挂	gw
滚	gp
够	gb
和	h
哈	ha
好	hk
还	hl
何	he
很	hf
横	hg
行	hh
含	hj
坏	hy
黄	hd
或	ho
换	hr
红	hs
户	hu
会	hv
黑	hz
话	hw
混	hp
后	hb
出	i
差	ia
超	ik
拆	il
车	ie
陈	if
成	ig
长	ih
吃	ii
产	ij
揣	iy
窗	id
戳	io
传	ir
冲	is
处	iu
吹	iv
纯	ip
抽	ib
就	j
进	jn
几	ji
经	jy
将	jd
间	jm
叫	jc
接	jx
久	jq
卷	jr
窘	js
据	ju
加	jw
均	jp
可	k
卡	ka
靠	kk
开	kl
科	ke
肯	kf
坑	kg
抗	kh
看	kj
快	ky
况	kd
扩	ko
宽	kr
空	ks
酷	ku
亏	kv
尅	kz
夸	kw
困	kp
口	kb
了	l
拉	la
林	ln
老	lk
来	ll
乐	le
冷	lg
浪	lh
里	li
另	ly
两	ld
连	lm
料	lc
落	lo
列	lx
刘	lq
乱	lr
龙	ls
路	lu
率	lv
类	lz
论	lp
楼	lb
没	m
吗	ma
民	mn
毛	mk
买	ml
么	me
们	mf
梦	mg
忙	mh
米	mi
慢	mj
明	my
面	mm
秒	mc
末	mo
灭	mx
目	mu
每	mz
某	mb
你	n
那	na
您	nn
闹	nk
呢	ne
嫩	nf
能	ng
囊	nh
泥	ni
难	nj
宁	ny
娘	nd
年	nm
鸟	nc
挪	no
捏	nx
牛	nq
暖	nr
弄	ns
虐	nt
怒	nu
女	nv
内	nz
哦	o
嗯	og
呒	om
喔	oo
欧	ou
平	p
怕	pa
品	pn
跑	pk
排	pl
盆	pf
碰	pg
旁	ph
批	pi
盘	pj
凭	py
片	pm
票	pc
破	po
撇	px
普	pu
配	pz
剖	pb
去	q
亲	qn
其	qi
请	qy
强	qd
前	qm
桥	qc
且	qx
求	qq
全	qr
穷	qs
却	qt
区	qu
恰	qw
群	qp
人	r
绕	rk
热	re
任	rf
仍	rg
让	rh
日	ri
然	rj
若	ro
软	rr
容	rs
如	ru
肉	rb
三	s
撒	sa
扫	sk
赛	sl
色	se
森	sf
僧	sg
桑	sh
四	si
散	sj
所	so
算	sr
送	ss
苏	su
岁	sv
搜	sb
他	t
她	ta
套	tk
太	tl
特	te
腾	tg
汤	th
体	ti
谈	tj
听	ty
天	tm
调	tc
托	to
贴	tx
团	tr
同	ts
图	tu
推	tv
头	tb
是	u
啥	ua
少	uk
晒	ul
设	ue
深	uf
生	ug
上	uh
时	ui
山	uj
帅	uy
双	ud
说	uo
拴	ur
数	uu
水	uv
谁	uz
刷	uw
顺	up
受	ub
这	v
扎	va
找	vk
着	ve
真	vf
正	vg
长	vh
只	vi
占	vj
拽	vy
装	vd
桌	vo
转	vr
中	vs
主	vu
追	vv
抓	vw
周	vb
我	w
挖	wa
外	wl
问	wf
王	wh
完	wj
握	wo
无	wu
为	wz
小	x
新	xn
系	xi
行	xy
想	xd
先	xm
笑	xc
些	xx
修	xq
选	xr
凶	xs
学	xt
需	xu
下	xw
一	y
亚	ya
因	yn
要	yk
也	ye
样	yh
以	yi
言	yj
应	yy
哟	yo
元	yr
用	ys
月	yt
与	yu
云	yp
有	yb
在	z
杂	za
早	zk
再	zl
则	ze
怎	zf
增	zg
藏	zh
字	zi
做	zo
总	zs
组	zu
最	zv
贼	zz
走	zb
