一下	yixx
一世	yiui
一世龙门	yulm
一个骨	yggu
一举	yiju
一了百当	ylbd
一仆一碌	ypyl
一介	yijp
一代	yidd
一代文宗	ydwz
一以当十	yydu
一传十	yiui
一体	yiti
一体同心	yttx
一傅众咻	yfvx
一元化	yyhx
一再	yizd
一刹那	yina
一刻	yike
一刻千金	ykqj
一前一后	yqyh
一半	yibj
一去不回	yqbh
一去不返	yqbf
一口价	ykjp
一口价	ykjx
一句话	yjhx
一只屐	yvji
一向	yixl
一味	yiww
一唱一和	yiyh
一啲	yidi
一块	yikk
一塌胡涂	ytht
一声令下	yulx
一夫当关万夫莫开	yfdk
一头烟	ytyj
一孔之见	ykvj
一字不苟	yzbg
一字之师	yzvu
一家子	yjzi
一寸丹心	ycdx
一对	yidv
一小撮	yxco
一展风采	yvfc
一己之私	yjvs
一带	yidd
一年到头	yndt
一式两份	yulf
一律	yilv
一德一心	ydyx
一心	yixb
一心一德	yxyd
一忍再忍	yrzr
一息尚存	yxuc
一手	yiuz
一把手	ybuz
一报还一报	ybhb
一担担	yddj
一拍两散	ypls
一撇嘢	ypye
一整套	yvtc
一无所成	ymsi
一无所成	ywsi
一日到黑	yrdh
一早	yizc
一时	yiui
一时时	yuui
一时间	yujm
一暴十寒	ypuh
一条心	ytxb
一来	yild
一枝公	yvgs
一气	yiqi
一水之隔	yuvg
一波又起	ybyq
一波未平	ybwp
一派	yipd
一流	yilq
一炮而红	ybeh
一炮而红	ypeh
一瓣心香	ybxx
一生	yiug
一番话	yfhx
一瘸一拐	yqyg
一盅两件	yvlj
一盘水	ypuv
一直	yivi
一相情愿	yxqy
一瞬间	yujm
一碧万顷	ybwq
一碧千里	ybql
一端	yidr
一级	yiji
一脉相承	ymxi
一脚踢	yjti
一般性	ybxk
一表人才	ybrc
一览表	ylbn
一角	yijn
一言一行	yyyx
一言堂	yyth
一语成谶	yyii
一身正气	yuvq
一身蚁	yuyi
一轮红日	ylhr
一边	yibm
一连	yilm
一连串	ylir
一针一线	yvyx
一镬熟	yhuu
一镬熟	yhuz
一面	yimm
一面之缘	ymvy
一颈血	ygxp
一颈血	ygxt
一颈血	yjxp
一颈血	yjxt
一馈十起	ykuq
一麟半爪	ylbv
一齐	yiqi
丁丑	dkiz
丁亥	dkhd
丁卯	dkmc
丁巳	dksi
丁未	dkww
丁酉	dkyz
丁香	dkxl
七一	qiyi
七七八八	qqbb
七国咁乱	qggl
七大	qida
七大	qidd
七巧板	qqbj
七年	qinm
七情上面	qqum
七成	qiig
七横八竖	qhbu
七步成诗	qbiu
七绝	qijt
万万	wjwj
万事	wjui
万事通	wuts
万嘱咐	wvfu
万夫不当	wfbd
万宝路	wblu
万家生佛	wjuf
万年	wjnm
万年青	wnqk
万念俱焚	wnjf
万木葱茏	wmcl
万死一生	wsyu
万水千山	wuqu
万物	wjwu
万物初醒	wwix
万物皆备于我	wwjw
万种	wjis
万种	wjvs
万籁	wjld
万里无云	wlwy
丈夫	vhfu
三伏	sjfu
三叉	sjia
三叉苏	sisu
三唔识七	swuq
三唔识七	swvq
三天打鱼两天晒网	stdw
三尖八角	sjbj
三幅被	sfbw
三幅被	sfpi
三废	sjfw
三座大山	szdu
三弦	sjxm
三扒两拨	sblb
三扒两拨	splb
三文治	swvi
三文鱼	swyu
三昧	sjmw
三民主义	smvy
三洋	sjyh
三粒星	slxk
三索	sjso
三维	sjww
三角洲	sjvz
上下班	uxbj
上下级	uxji
上不得台盘	ubdp
上乘	uhig
上书	uhuu
上任	uhrf
上冻	uhds
上告	uhgc
上品	uhpb
上善若水	uuru
上场	uhih
上契	uhqi
上契	uhxp
上好	uhhc
上家	uhjx
上尉	uhww
上届	uhjp
上山下乡	uuxx
上峰	uhfg
上工	uhgs
上昼	uhvz
上架	uhjx
上梁不正	ulbv
上水	uhuv
上溯	uhsu
上漏下湿	ulxu
上相	uhxl
上窜下跳	ucxt
上缴	uhjn
上肢	uhvi
上议院	uyyr
上访	uhfh
上蹿下跳	ucxt
上载	uhzd
上道	uhdc
上限	uhxm
上风	uhfg
下乡	xxxl
下人	xxrf
下任	xxrf
下低	xxdi
下功夫	xgfu
下地	xxdi
下工	xxgs
下扒	xxba
下扒	xxpa
下扒轻轻	xbqq
下扒轻轻	xpqq
下摆	xxbd
下放	xxfh
下水道	xudc
下滑	xxhx
下爬	xxpa
下级	xxji
下脚料	xjln
下蛋	xxdj
下议院	xyyr
下野	xxye
下限	xxxm
下陷	xxxm
下马威	xmww
不丹	budj
不为所动	bwsd
不乏	bufa
不仅仅	bjjb
